,Score,Potential ScorePerfect: 16,KC 42@NE 27,NYJ 12@BUF 21,ATL 23@CHI 17,BAL 20@CIN 0,PIT 21@CLE 18,AZ 23@DET 35,JAX 29@HOU 7,TB 0@MIA 0,OAK 26@TEN 16,PHI 30@WAS 17,IND 9@LAR 46,SEA 9@GB 17,CAR 23@SF 3,NYG 3@DAL 19,NO 19@MN 29,LAC 21@DEN 24,Tie BreakerPredictionActual: 45
,,click for stats:,,,,,,,,,,,,,,,,,[?]
Balls Deep,14,14,KC,BUF,ATL,CIN,PIT,DET,HOU,cancelledTB,OAK,PHI,LAR,GB,CAR,DAL,MN,DEN,45
HayMadEm,14,14,KC,BUF,ATL,BAL,PIT,DET,HOU,cancelledTB,OAK,PHI,LAR,GB,CAR,DAL,NO,DEN,35
Eggman,13,13,NE,BUF,ATL,CIN,PIT,DET,JAX,cancelledTB,OAK,PHI,LAR,GB,CAR,DAL,NO,DEN,43
m_weinstein,13,13,NE,BUF,ATL,BAL,PIT,DET,HOU,cancelledMIA,OAK,PHI,IND,GB,CAR,DAL,MN,DEN,43
cammax716,13,13,NE,BUF,ATL,BAL,PIT,DET,HOU,cancelledTB,OAK,PHI,LAR,GB,CAR,DAL,NO,DEN,39
mikemarkowitz,13,13,NE,BUF,ATL,BAL,PIT,DET,HOU,cancelledMIA,OAK,PHI,LAR,GB,CAR,DAL,NO,DEN,31
j3live,12,12,NE,BUF,ATL,CIN,PIT,DET,JAX,cancelledTB,TEN,PHI,LAR,GB,CAR,DAL,NO,DEN,45
Marc Cramer,12,12,NE,BUF,ATL,CIN,PIT,DET,HOU,cancelledMIA,TEN,PHI,LAR,GB,CAR,DAL,MN,DEN,46
Torch,12,12,NE,BUF,ATL,CIN,PIT,AZ,JAX,cancelledMIA,OAK,PHI,LAR,GB,CAR,DAL,NO,DEN,46
HAPPYNESS,12,12,NE,BUF,ATL,CIN,PIT,DET,HOU,cancelledMIA,OAK,WAS,LAR,GB,CAR,DAL,MN,DEN,44
Slugger53,12,12,NE,BUF,ATL,CIN,PIT,DET,HOU,cancelledTB,OAK,PHI,LAR,GB,CAR,DAL,MN,LAC,44
Perjodi,12,12,NE,BUF,ATL,CIN,PIT,DET,HOU,cancelledTB,OAK,PHI,LAR,GB,CAR,DAL,NO,DEN,43
Lucky Laits,12,12,KC,NYJ,ATL,CIN,PIT,DET,HOU,cancelledTB,OAK,PHI,LAR,GB,CAR,NYG,MN,DEN,47
Giant Expectations,12,12,NE,BUF,ATL,BAL,PIT,DET,HOU,cancelledTB,OAK,PHI,IND,GB,CAR,NYG,MN,DEN,48
