"","Score","Potential ScorePerfect: 14","SEA 22@AZ 16","NO 47@BUF 10","GB 23@CHI 16","CLE 24@DET 38","PIT 20@IND 17","LAC 17@JAX 20","NYJ 10@TB 15","CIN 20@TEN 24","MN 38@WAS 30","HOU 7@LAR 33","DAL 7@ATL 27","NYG 21@SF 31","NE 41@DEN 16","MIA 21@CAR 45","Tie BreakerPredictionActual: 66"
"","","click for stats:","","","","","","","","","","","","","","","[?]"
"Philly Clete","13","13","SEA","NO","GB","DET","PIT","JAX","NYJ","TEN","MN","LAR","ATL","SF","NE","CAR","56"
"Badboybilly","13","13","SEA","NO","CHI","DET","PIT","JAX","TB","TEN","MN","LAR","ATL","SF","NE","CAR","43"
"GKAT","13","13","SEA","NO","GB","DET","PIT","JAX","TB","TEN","WAS","LAR","ATL","SF","NE","CAR","38"
"TShelly","13","13","SEA","NO","CHI","DET","PIT","JAX","TB","TEN","MN","LAR","ATL","SF","NE","CAR","35"
"Borofskys","12","12","SEA","NO","GB","DET","PIT","JAX","TB","TEN","WAS","LAR","ATL","NYG","NE","CAR","49"
"Howie's Hotdogs","12","12","SEA","NO","GB","DET","PIT","JAX","NYJ","TEN","MN","LAR","ATL","NYG","NE","CAR","44"
"Jack Korbutov","12","12","SEA","NO","CHI","DET","PIT","JAX","NYJ","TEN","MN","LAR","ATL","SF","NE","CAR","41"
"cammax716","12","12","SEA","BUF","CHI","DET","PIT","JAX","TB","TEN","MN","LAR","ATL","SF","NE","CAR","39"
"Just Monkeyin' Around","11","11","SEA","NO","CHI","DET","PIT","JAX","TB","TEN","MN","LAR","DAL","NYG","NE","CAR","52"
"GeverKriensky","11","11","SEA","NO","CHI","DET","PIT","JAX","TB","CIN","MN","LAR","ATL","NYG","NE","CAR","52"
"J Rosenthal","11","11","SEA","NO","CHI","DET","PIT","JAX","NYJ","TEN","MN","LAR","ATL","NYG","NE","CAR","49"
"mmillson","11","11","SEA","NO","CHI","DET","PIT","JAX","TB","CIN","MN","LAR","ATL","SF","NE","MIA","49"
"jtyler15","11","11","SEA","NO","CHI","DET","PIT","JAX","NYJ","TEN","MN","LAR","ATL","NYG","NE","CAR","48"
"GmenBlues","11","11","SEA","NO","CHI","DET","PIT","JAX","NYJ","TEN","MN","LAR","ATL","NYG","NE","CAR","47"
