"","Score","Potential ScorePerfect: 14","TEN 17@PIT 40","DET 27@CHI 24","BAL 23@GB 0","JAX 19@CLE 7","AZ 21@HOU 31","LAR 7@MN 24","WAS 31@NO 34","KC 9@NYG 12","TB 30@MIA 20","BUF 24@LAC 54","CIN 20@DEN 17","NE 33@OAK 8","PHI 37@DAL 9","ATL 34@SEA 31","Tie BreakerPredictionActual: 65"
"","","click for stats:","","","","","","","","","","","","","","","[?]"
"tonyppt","13","13","PIT","DET","BAL","JAX","HOU","MN","NO","KC","TB","LAC","CIN","NE","PHI","ATL","45"
"Sparky","12","12","PIT","DET","BAL","JAX","HOU","MN","NO","KC","MIA","LAC","CIN","NE","PHI","ATL","48"
"Badboybilly","12","12","PIT","DET","BAL","JAX","HOU","MN","NO","KC","MIA","LAC","CIN","NE","PHI","ATL","44"
"j3live","11","11","PIT","CHI","BAL","JAX","HOU","MN","NO","KC","TB","BUF","CIN","NE","PHI","ATL","49"
"West Coast Best Coast","11","11","PIT","DET","BAL","JAX","AZ","MN","NO","KC","TB","BUF","CIN","NE","PHI","ATL","47"
"mteitelman","11","11","PIT","DET","BAL","JAX","HOU","MN","NO","KC","TB","LAC","DEN","NE","PHI","SEA","46"
"GmenBlues","11","11","PIT","DET","GB","JAX","HOU","MN","NO","NYG","TB","LAC","DEN","NE","PHI","SEA","46"
"Alta Kickers","11","11","PIT","DET","BAL","JAX","AZ","MN","NO","KC","TB","LAC","CIN","NE","PHI","SEA","45"
"Brubabe","11","11","PIT","DET","GB","JAX","HOU","MN","NO","KC","TB","LAC","DEN","NE","PHI","ATL","44"
"jtyler15","11","11","TEN","DET","BAL","JAX","HOU","MN","NO","KC","TB","LAC","DEN","NE","PHI","ATL","43"
"Torch","11","11","PIT","DET","BAL","JAX","AZ","LAR","NO","KC","TB","LAC","CIN","NE","PHI","ATL","42"
"RichieRich$$","11","11","PIT","DET","BAL","JAX","HOU","MN","NO","KC","MIA","LAC","DEN","NE","PHI","ATL","40"
"cammax716","10","10","PIT","DET","BAL","JAX","HOU","MN","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","58"
"Bag 'n' Shoes","10","10","PIT","CHI","BAL","JAX","HOU","MN","NO","KC","TB","LAC","DEN","NE","PHI","SEA","56"
"GEO DOG","10","10","PIT","DET","GB","JAX","HOU","LAR","NO","KC","TB","LAC","CIN","NE","PHI","SEA","54"
"Borofskys","10","10","PIT","DET","GB","JAX","HOU","LAR","NO","KC","TB","LAC","DEN","NE","PHI","ATL","53"
"Just Monkeyin' Around","10","10","PIT","DET","BAL","JAX","HOU","LAR","WAS","KC","TB","LAC","CIN","NE","PHI","SEA","52"
"J Rosenthal","10","10","PIT","DET","BAL","JAX","HOU","MN","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","49"
"howarddmd","10","10","PIT","DET","BAL","JAX","AZ","MN","NO","KC","MIA","LAC","CIN","NE","PHI","SEA","48"
"sdtrading","10","10","PIT","DET","GB","JAX","AZ","MN","NO","KC","TB","LAC","DEN","NE","PHI","ATL","48"
"It's Wentz Time","10","10","PIT","DET","GB","JAX","HOU","MN","NO","KC","MIA","LAC","DEN","NE","PHI","ATL","48"
"JMenacker","10","10","PIT","DET","BAL","JAX","AZ","MN","NO","KC","MIA","LAC","DEN","NE","PHI","ATL","45"
"Boldman","10","10","PIT","DET","BAL","JAX","HOU","LAR","NO","KC","MIA","LAC","DEN","NE","PHI","ATL","45"
"KINGOCARZ","10","10","PIT","DET","BAL","JAX","AZ","MN","NO","KC","MIA","LAC","DEN","NE","PHI","ATL","45"
"Perjodi","10","10","PIT","DET","BAL","JAX","HOU","MN","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","44"
"tnrosen","10","10","PIT","DET","GB","JAX","HOU","LAR","NO","KC","TB","LAC","DEN","NE","PHI","ATL","42"
"Giant Expectations","10","10","PIT","DET","BAL","JAX","HOU","MN","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","39"
"Dorf","10","10","PIT","DET","BAL","JAX","HOU","LAR","NO","KC","TB","BUF","CIN","NE","PHI","SEA","37"
"HayMadEm","10","10","PIT","DET","BAL","JAX","AZ","LAR","NO","KC","TB","LAC","CIN","NE","PHI","SEA","35"
"Jaddie's Daddy","9","9","PIT","DET","BAL","JAX","AZ","MN","NO","KC","MIA","LAC","DEN","NE","DAL","ATL","55"
"Pioneers85","9","9","PIT","DET","GB","JAX","HOU","MN","NO","KC","MIA","LAC","CIN","OAK","PHI","SEA","52"
"Howie's Hotdogs","9","9","PIT","DET","BAL","JAX","HOU","LAR","NO","KC","MIA","BUF","CIN","NE","PHI","SEA","51"
"Balls Deep","9","9","PIT","DET","BAL","JAX","HOU","LAR","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","51"
"Dr. Blue","9","9","PIT","DET","GB","JAX","HOU","MN","NO","KC","MIA","LAC","CIN","OAK","PHI","SEA","51"
"Eggman366","9","9","PIT","DET","BAL","JAX","AZ","LAR","NO","KC","MIA","LAC","DEN","NE","PHI","ATL","51"
"CaneCorbett","9","9","PIT","DET","GB","JAX","HOU","LAR","NO","KC","MIA","LAC","CIN","NE","PHI","SEA","50"
"Used to be BristolDr","9","9","PIT","DET","GB","JAX","AZ","MN","NO","KC","MIA","LAC","DEN","NE","PHI","ATL","50"
"mmillson","9","9","PIT","DET","BAL","JAX","HOU","LAR","NO","KC","TB","BUF","DEN","NE","PHI","SEA","49"
"Cold Steel","9","9","PIT","DET","BAL","JAX","AZ","MN","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","48"
"Jay and Sammy's Gramps","9","9","PIT","DET","BAL","JAX","AZ","MN","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","47"
"Keith Sweat Tailor","9","9","PIT","DET","BAL","JAX","HOU","MN","WAS","KC","MIA","LAC","DEN","NE","PHI","SEA","47"
"TShelly","9","9","PIT","DET","BAL","JAX","HOU","LAR","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","46"
"Paradigm","9","9","PIT","DET","GB","JAX","HOU","MN","NO","KC","TB","BUF","DEN","NE","PHI","SEA","45"
"HAPPYNESS","9","9","PIT","DET","BAL","JAX","AZ","MN","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","45"
"margate kid","9","9","PIT","DET","GB","JAX","HOU","MN","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","45"
"barry from miami","9","9","PIT","DET","GB","JAX","HOU","MN","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","45"
"Rovner Team","9","9","PIT","DET","GB","JAX","HOU","MN","NO","KC","MIA","BUF","CIN","NE","PHI","SEA","44"
"Neal Scott","9","9","PIT","DET","GB","JAX","HOU","MN","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","44"
"Feins","9","9","PIT","DET","GB","JAX","AZ","MN","NO","KC","MIA","LAC","DEN","NE","PHI","ATL","44"
"m_weinstein","9","9","PIT","DET","GB","JAX","HOU","MN","NO","KC","MIA","LAC","DEN","OAK","PHI","ATL","43"
"Petvet","9","9","PIT","DET","BAL","JAX","AZ","MN","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","42"
"twinkletoes","9","9","PIT","DET","GB","JAX","AZ","MN","NO","KC","TB","LAC","DEN","NE","PHI","SEA","42"
"Jack Korbutov","9","9","PIT","DET","BAL","JAX","AZ","MN","NO","KC","MIA","BUF","DEN","NE","PHI","ATL","41"
"nugget3016","9","9","PIT","DET","GB","JAX","HOU","MN","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","41"
"Agent of S.H.E.L.A.","9","9","PIT","DET","BAL","JAX","AZ","MN","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","40"
"speedy","9","9","PIT","DET","GB","CLE","HOU","MN","NO","KC","MIA","LAC","CIN","NE","PHI","SEA","39"
"Eggman","9","9","PIT","CHI","GB","JAX","HOU","MN","NO","KC","TB","LAC","DEN","OAK","PHI","ATL","39"
"Mediocre Superiority","9","9","PIT","DET","BAL","JAX","AZ","MN","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","39"
"GoPats!!!","9","9","PIT","DET","GB","JAX","HOU","MN","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","38"
"mikemarkowitz","9","9","PIT","DET","GB","JAX","HOU","LAR","NO","KC","MIA","LAC","CIN","NE","PHI","SEA","32"
"Fire Goodell","9","9","-","CHI","BAL","JAX","AZ","MN","NO","NYG","TB","LAC","DEN","NE","PHI","SEA","31"
"Philly Clete","8","8","PIT","DET","GB","JAX","HOU","MN","NO","KC","MIA","BUF","DEN","NE","PHI","SEA","56"
"Marc Cramer","8","8","PIT","DET","GB","JAX","HOU","MN","NO","KC","MIA","BUF","DEN","NE","PHI","SEA","50"
"CTE DENIERS","8","8","PIT","DET","GB","JAX","AZ","LAR","NO","KC","MIA","LAC","DEN","NE","PHI","ATL","50"
"Slugger53","8","8","PIT","DET","GB","JAX","HOU","LAR","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","50"
"GKAT","8","8","PIT","DET","GB","JAX","HOU","MN","NO","KC","TB","LAC","DEN","OAK","DAL","SEA","48"
"davs3b","8","8","PIT","DET","GB","JAX","HOU","MN","NO","KC","MIA","BUF","DEN","NE","PHI","SEA","48"
"Sophie's Last Choice","8","8","TEN","DET","GB","JAX","AZ","MN","NO","KC","TB","BUF","CIN","NE","PHI","SEA","47"
"CoachJoel57","8","8","PIT","DET","BAL","JAX","AZ","LAR","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","46"
"POOL MEISTER","8","8","PIT","DET","GB","JAX","AZ","MN","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","45"
"The System","8","8","PIT","CHI","BAL","JAX","AZ","MN","NO","KC","MIA","LAC","DEN","NE","DAL","ATL","44"
"Phillycheese","8","8","PIT","DET","GB","JAX","AZ","LAR","NO","KC","MIA","LAC","CIN","NE","PHI","SEA","44"
"MSE=PA","8","8","PIT","DET","GB","JAX","AZ","MN","NO","KC","MIA","LAC","DEN","NE","PHI","SEA","44"
"Kosher Dill","8","8","PIT","DET","GB","JAX","AZ","LAR","NO","KC","MIA","LAC","CIN","NE","DAL","ATL","43"
"The Pickmaster","8","8","PIT","CHI","BAL","CLE","AZ","MN","NO","KC","TB","LAC","DEN","NE","PHI","SEA","41"
"They Might Be Giants","8","8","PIT","DET","GB","JAX","AZ","LAR","NO","NYG","TB","BUF","CIN","OAK","PHI","SEA","39"
"Abos","8","8","PIT","CHI","GB","JAX","AZ","MN","NO","KC","MIA","LAC","DEN","NE","PHI","ATL","35"
