"","Score","Potential ScorePerfect: 16","MN 30@DET 23","LAC 28@DAL 6","NYG 10@WAS 20","TB 20@ATL 34","CLE 16@CIN 30","TEN 20@IND 16","BUF 16@KC 10","MIA 17@NE 35","CAR 35@NYJ 27","CHI 3@PHI 31","SEA 24@SF 13","NO 20@LAR 26","JAX 24@AZ 27","DEN 14@OAK 21","GB 28@PIT 31","HOU 16@BAL 23","Tie BreakerPredictionActual: 39"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"margate kid","14","14","MN","LAC","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","LAR","JAX","OAK","PIT","BAL","38"
"Fire Goodell","14","14","MN","DAL","NYG","ATL","CIN","TEN","BUF","NE","CAR","PHI","SEA","LAR","AZ","OAK","PIT","BAL","31"
"Abos","14","14","MN","LAC","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","LAR","JAX","OAK","PIT","BAL","30"
"Jack Korbutov","14","14","MN","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","LAR","AZ","OAK","PIT","BAL","28"
"speedy","13","13","MN","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","LAR","JAX","OAK","PIT","BAL","39"
"RichieRich$$","13","13","MN","LAC","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","39"
"TShelly","13","13","MN","LAC","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","40"
"j3live","13","13","DET","LAC","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","LAR","JAX","OAK","PIT","BAL","40"
"tnrosen","13","13","MN","LAC","NYG","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","LAR","JAX","OAK","PIT","BAL","40"
"Jay and Sammy's Gramps","13","13","MN","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","LAR","JAX","OAK","PIT","BAL","38"
