"","Score","Potential ScorePerfect: 16","WAS 14@DAL 38","MN 14@ATL 9","DET 20@BAL 44","NE 23@BUF 3","SF 15@CHI 14","TB 20@GB 26","IND 10@JAX 30","DEN 9@MIA 35","KC 31@NYJ 38","HOU 13@TEN 24","CLE 10@LAC 19","CAR 21@NO 31","LAR 32@AZ 16","NYG 17@OAK 24","PHI 10@SEA 24","PIT 23@CIN 20","Tie BreakerPredictionActual: 43"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"CoachJoel57","14","14","WAS","MN","BAL","NE","SF","GB","JAX","MIA","NYJ","TEN","LAC","NO","LAR","OAK","PHI","PIT","42"
"Dr. Blue","14","14","DAL","ATL","BAL","NE","CHI","GB","JAX","MIA","NYJ","TEN","LAC","NO","LAR","OAK","SEA","PIT","45"
"Eggman366","14","14","WAS","MN","BAL","NE","SF","GB","JAX","MIA","NYJ","TEN","LAC","NO","LAR","OAK","PHI","PIT","47"
"Kosher Dill","14","14","WAS","MN","DET","NE","SF","GB","JAX","MIA","NYJ","TEN","LAC","NO","LAR","OAK","SEA","PIT","50"
"barry from miami","13","13","DAL","MN","BAL","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","43"
"Giant Expectations","13","13","DAL","ATL","BAL","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","SEA","PIT","42"
"Lucky Laits","13","13","DAL","ATL","BAL","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","SEA","PIT","42"
"nc7690","13","13","WAS","ATL","DET","NE","SF","GB","JAX","MIA","NYJ","TEN","LAC","NO","LAR","OAK","SEA","PIT","44"
"Used to be BristolDr","13","13","WAS","MN","BAL","NE","CHI","GB","JAX","MIA","NYJ","TEN","LAC","NO","LAR","OAK","PHI","PIT","48"
"Sparky","13","13","DAL","MN","DET","NE","SF","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","52"
"Petvet","12","12","WAS","ATL","BAL","NE","CHI","GB","JAX","MIA","NYJ","TEN","LAC","NO","LAR","OAK","PHI","PIT","43"
"margate kid","12","12","DAL","MN","DET","NE","SF","GB","JAX","DEN","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","43"
"Headly IV","12","12","WAS","MN","BAL","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","SEA","CIN","43"
"tnrosen","12","12","DAL","MN","BAL","NE","CHI","TB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","42"
"Eggman","12","12","DAL","ATL","BAL","NE","CHI","GB","JAX","MIA","NYJ","TEN","LAC","NO","AZ","OAK","PHI","PIT","42"
"Brubabe","12","12","DAL","ATL","BAL","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","44"
"Badboybilly","12","12","WAS","ATL","BAL","NE","SF","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","44"
"Boldman","12","12","WAS","ATL","BAL","NE","SF","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","44"
"The System","12","12","WAS","MN","BAL","NE","SF","TB","JAX","DEN","NYJ","TEN","LAC","NO","LAR","OAK","SEA","CIN","44"
"Rovner Team","12","12","WAS","MN","BAL","NE","CHI","GB","JAX","MIA","NYJ","TEN","LAC","NO","LAR","OAK","PHI","CIN","44"
"Fire Goodell","12","12","WAS","MN","BAL","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","SEA","CIN","42"
"davs3b","12","12","WAS","MN","BAL","NE","CHI","GB","JAX","DEN","NYJ","TEN","LAC","NO","LAR","OAK","PHI","PIT","45"
"Balls Deep","12","12","-","MN","BAL","NE","SF","TB","JAX","DEN","KC","TEN","LAC","NO","LAR","OAK","SEA","PIT","45"
"Cold Steel","12","12","DAL","ATL","BAL","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","45"
"maldo","12","12","DAL","MN","BAL","NE","SF","TB","IND","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","40"
"Jaddie's Daddy","12","12","WAS","ATL","BAL","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","SEA","PIT","40"
"The Pickmaster","12","12","WAS","MN","DET","NE","SF","GB","JAX","DEN","NYJ","TEN","LAC","NO","LAR","OAK","PHI","PIT","46"
"RichieRich$$","12","12","WAS","ATL","BAL","NE","CHI","GB","JAX","MIA","NYJ","TEN","LAC","NO","LAR","OAK","PHI","PIT","38"
"CTE DENIERS","12","12","WAS","ATL","BAL","NE","CHI","GB","JAX","MIA","NYJ","TEN","LAC","NO","LAR","OAK","PHI","PIT","48"
"jayandhisbubbe","12","12","WAS","MN","BAL","NE","SF","TB","JAX","DEN","NYJ","TEN","LAC","NO","LAR","OAK","PHI","PIT","38"
"POOL MEISTER","12","12","DAL","ATL","BAL","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","50"
"sdtrading","12","12","WAS","ATL","BAL","NE","CHI","GB","JAX","MIA","NYJ","TEN","LAC","NO","LAR","OAK","PHI","PIT","51"
"MSE=PA","12","12","WAS","ATL","BAL","NE","SF","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","56"
"Perjodi","11","11","WAS","ATL","BAL","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","43"
"TShelly","11","11","DAL","MN","DET","NE","CHI","TB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","43"
"HAPPYNESS","11","11","DAL","ATL","BAL","NE","CHI","TB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","43"
"KINGOCARZ","11","11","WAS","ATL","BAL","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","42"
"It's Wentz Time","11","11","WAS","ATL","DET","NE","CHI","GB","JAX","MIA","NYJ","TEN","LAC","NO","LAR","OAK","PHI","PIT","45"
"m_weinstein","11","11","WAS","ATL","BAL","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","41"
"tonyppt","11","11","DAL","ATL","DET","NE","CHI","GB","JAX","DEN","KC","TEN","LAC","NO","LAR","OAK","SEA","PIT","45"
"Agent of S.H.E.L.A.","11","11","WAS","ATL","BAL","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","40"
"GoPats!!!","11","11","DAL","ATL","BAL","NE","CHI","GB","JAX","DEN","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","48"
"GKAT","11","11","DAL","ATL","DET","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","CAR","LAR","OAK","SEA","PIT","48"
"howarddmd","11","11","WAS","MN","BAL","NE","CHI","TB","JAX","MIA","KC","TEN","LAC","CAR","LAR","OAK","SEA","PIT","48"
"Pioneers85","11","11","WAS","ATL","DET","BUF","SF","GB","JAX","MIA","NYJ","TEN","LAC","NO","AZ","OAK","SEA","PIT","48"
"Abos","11","11","WAS","ATL","DET","NE","SF","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","38"
"Benny","11","11","WAS","MN","BAL","NE","CHI","GB","JAX","MIA","KC","HOU","LAC","NO","LAR","OAK","PHI","PIT","48"
"Feins","11","11","WAS","ATL","DET","NE","CHI","GB","JAX","MIA","NYJ","TEN","LAC","NO","LAR","OAK","PHI","PIT","38"
"Big Blue 14","11","11","WAS","ATL","BAL","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","37"
"Marc Cramer","11","11","DAL","ATL","BAL","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","AZ","OAK","PHI","PIT","50"
"HayMadEm","11","11","WAS","MN","DET","NE","SF","TB","JAX","MIA","KC","TEN","LAC","CAR","LAR","OAK","SEA","PIT","35"
"Bag 'n' Shoes","11","11","DAL","MN","BAL","NE","CHI","TB","JAX","DEN","NYJ","TEN","LAC","NO","AZ","OAK","PHI","PIT","52"
"GEO DOG","11","11","WAS","ATL","DET","NE","CHI","GB","JAX","MIA","NYJ","TEN","LAC","NO","LAR","OAK","PHI","PIT","54"
"Chessdoc","11","11","DAL","ATL","DET","NE","SF","GB","JAX","MIA","KC","HOU","LAC","NO","LAR","OAK","PHI","PIT","55"
"Geve and Steve","11","11","DAL","ATL","BAL","NE","SF","TB","JAX","MIA","KC","HOU","LAC","NO","LAR","OAK","PHI","PIT","0"
"madbolt","10","10","WAS","ATL","DET","NE","CHI","TB","JAX","MIA","NYJ","TEN","LAC","NO","LAR","OAK","PHI","PIT","43"
"Mediocre Superiority","10","10","WAS","ATL","BAL","NE","CHI","GB","JAX","DEN","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","43"
"Neal Scott","10","10","WAS","ATL","BAL","NE","CHI","GB","JAX","DEN","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","44"
"TuesdayMorningQB","10","10","DAL","ATL","BAL","BUF","SF","GB","JAX","DEN","KC","TEN","LAC","CAR","LAR","OAK","PHI","PIT","42"
"CaneCorbett","10","10","WAS","ATL","DET","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","42"
"nugget3016","10","10","WAS","ATL","BAL","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","AZ","OAK","PHI","PIT","44"
"Jay and Sammy's Gramps","10","10","WAS","MN","DET","BUF","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","42"
"Keith Sweat Tailor","10","10","DAL","ATL","DET","NE","SF","GB","JAX","DEN","KC","TEN","LAC","NO","LAR","OAK","PHI","CIN","44"
"Jack Korbutov","10","10","DAL","ATL","BAL","NE","CHI","TB","JAX","DEN","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","41"
"JMenacker","10","10","-","MN","DET","NE","CHI","TB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","45"
"Alta Kickers","10","10","WAS","ATL","BAL","NE","CHI","TB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","45"
"West Coast Best Coast","10","10","WAS","ATL","DET","NE","SF","TB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","46"
"NadavSchwartz","10","10","WAS","ATL","BAL","BUF","CHI","TB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","SEA","PIT","46"
"speedy","10","10","WAS","ATL","BAL","NE","CHI","TB","JAX","MIA","NYJ","TEN","LAC","NO","LAR","OAK","PHI","CIN","39"
"Phillycheese","10","10","WAS","ATL","DET","NE","CHI","GB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","48"
"GmenBlues","10","10","WAS","MN","BAL","NE","CHI","GB","JAX","DEN","KC","TEN","LAC","NO","AZ","NYG","SEA","PIT","49"
"Slugger53","10","10","WAS","ATL","DET","NE","SF","GB","JAX","DEN","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","50"
"j3live","10","10","DAL","ATL","DET","NE","CHI","GB","JAX","DEN","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","52"
"mikemarkowitz","10","10","WAS","ATL","DET","NE","SF","TB","JAX","MIA","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","34"
"Just Monkeyin' Around","10","10","WAS","MN","DET","NE","CHI","TB","JAX","DEN","NYJ","TEN","LAC","NO","LAR","OAK","PHI","PIT","55"
"Sophie's Last Choice","9","9","WAS","ATL","BAL","NE","CHI","GB","JAX","DEN","NYJ","TEN","CLE","CAR","LAR","OAK","PHI","PIT","43"
"Paradigm","9","9","WAS","ATL","BAL","NE","CHI","GB","JAX","DEN","KC","HOU","LAC","NO","LAR","OAK","PHI","PIT","43"
"Torch","9","9","DAL","ATL","BAL","NE","CHI","TB","JAX","DEN","KC","HOU","LAC","NO","LAR","OAK","PHI","PIT","44"
"mteitelman","9","9","-","ATL","BAL","NE","CHI","GB","JAX","DEN","KC","TEN","LAC","CAR","LAR","OAK","PHI","PIT","45"
"They Might Be Giants","9","9","DAL","MN","BAL","NE","CHI","TB","JAX","DEN","KC","HOU","LAC","NO","AZ","OAK","PHI","PIT","47"
"cammax716","9","9","WAS","ATL","DET","NE","SF","GB","JAX","DEN","NYJ","HOU","LAC","CAR","LAR","OAK","PHI","PIT","47"
"J Rosenthal","9","9","WAS","ATL","BAL","NE","CHI","TB","JAX","DEN","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","47"
"Howie's Hotdogs","9","9","WAS","ATL","DET","NE","CHI","GB","JAX","DEN","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","39"
"jtyler15","9","9","WAS","ATL","DET","NE","CHI","GB","JAX","DEN","NYJ","TEN","LAC","CAR","LAR","OAK","PHI","PIT","49"
"Dorf","9","9","-","ATL","DET","NE","CHI","GB","JAX","DEN","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","37"
"Borofskys","9","9","WAS","ATL","BAL","NE","CHI","TB","JAX","DEN","KC","TEN","LAC","NO","LAR","OAK","PHI","PIT","53"
"GeverKriensky","9","9","DAL","ATL","DET","NE","CHI","GB","JAX","DEN","KC","TEN","LAC","NO","AZ","OAK","PHI","PIT","33"
"mmillson","7","7","-","ATL","DET","NE","CHI","GB","JAX","DEN","KC","HOU","LAC","CAR","LAR","OAK","PHI","PIT","42"
"Philly Clete","7","7","WAS","MN","DET","NE","CHI","TB","JAX","DEN","KC","HOU","LAC","CAR","LAR","OAK","PHI","PIT","56"
"twinkletoes","6","6","DAL","ATL","DET","NE","CHI","GB","IND","DEN","KC","HOU","LAC","CAR","AZ","NYG","SEA","PIT","42"
