"","Score","Potential ScorePerfect: 16","NO 17@ATL 20","IND 7@BUF 13","MN 24@CAR 31","CHI 33@CIN 7","GB 27@CLE 21","SF 26@HOU 16","OAK 15@KC 26","DET 24@TB 21","DAL 30@NYG 10","TEN 7@AZ 12","NYJ 0@DEN 23","WAS 13@LAC 30","SEA 24@JAX 30","PHI 43@LAR 35","BAL 38@PIT 39","NE 20@MIA 27","Tie BreakerPredictionActual: 47"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"Jack Korbutov","12","12","ATL","BUF","CAR","CIN","GB","HOU","KC","DET","DAL","AZ","DEN","LAC","SEA","PHI","PIT","NE","48"
"KINGOCARZ","12","12","ATL","BUF","CAR","CIN","GB","HOU","KC","DET","NYG","AZ","DEN","LAC","JAX","PHI","PIT","NE","48"
"nugget3016","12","12","ATL","BUF","CAR","CIN","GB","HOU","KC","DET","DAL","AZ","DEN","LAC","SEA","PHI","PIT","NE","45"
"j3live","12","12","ATL","BUF","CAR","CIN","GB","HOU","KC","DET","NYG","AZ","DEN","LAC","JAX","PHI","PIT","NE","51"
"RichieRich$$","12","12","ATL","BUF","CAR","CIN","GB","HOU","KC","TB","DAL","AZ","DEN","LAC","JAX","PHI","PIT","NE","53"
"Feins","12","12","NO","BUF","CAR","CIN","GB","HOU","KC","DET","DAL","AZ","NYJ","LAC","JAX","PHI","PIT","MIA","41"
"cammax716","12","12","ATL","BUF","CAR","CIN","GB","HOU","KC","DET","DAL","AZ","NYJ","WAS","JAX","PHI","PIT","MIA","54"
"CTE DENIERS","11","11","NO","BUF","CAR","CIN","GB","SF","KC","DET","DAL","TEN","NYJ","LAC","JAX","PHI","PIT","NE","50"
"mteitelman","11","11","ATL","BUF","CAR","CIN","GB","HOU","KC","TB","DAL","TEN","DEN","LAC","JAX","PHI","PIT","NE","42"
"sdtrading","11","11","ATL","BUF","CAR","CIN","GB","SF","KC","DET","DAL","AZ","NYJ","LAC","SEA","LAR","PIT","NE","52"
"GEO DOG","11","11","ATL","BUF","CAR","CIN","GB","HOU","KC","DET","DAL","TEN","DEN","LAC","SEA","PHI","PIT","NE","54"
"twinkletoes","11","11","ATL","BUF","CAR","CIN","GB","HOU","KC","DET","DAL","AZ","DEN","WAS","SEA","PHI","PIT","NE","38"
"jayandhisbubbe","10","10","NO","BUF","MN","CIN","GB","SF","KC","DET","DAL","TEN","NYJ","LAC","JAX","PHI","PIT","NE","47"
"Marc Cramer","10","10","ATL","BUF","CAR","CIN","CLE","HOU","KC","TB","DAL","AZ","DEN","LAC","SEA","PHI","PIT","NE","48"
"Howie's Hotdogs","10","10","ATL","BUF","MN","CIN","GB","HOU","KC","DET","DAL","TEN","NYJ","LAC","JAX","PHI","PIT","NE","46"
"CoachJoel57","10","10","ATL","BUF","MN","CIN","GB","HOU","KC","TB","DAL","AZ","NYJ","LAC","JAX","PHI","PIT","NE","45"
"TuesdayMorningQB","10","10","ATL","BUF","MN","CIN","GB","HOU","KC","DET","DAL","AZ","NYJ","LAC","JAX","LAR","PIT","NE","45"
"Dr. Blue","10","10","ATL","BUF","MN","CIN","GB","SF","KC","DET","DAL","AZ","NYJ","LAC","SEA","LAR","PIT","NE","49"
"GKAT","10","10","ATL","BUF","CAR","CIN","GB","HOU","KC","TB","DAL","AZ","NYJ","LAC","JAX","LAR","PIT","NE","50"
"Eggman","10","10","ATL","BUF","CAR","CIN","GB","HOU","KC","TB","DAL","TEN","NYJ","LAC","JAX","LAR","PIT","MIA","51"
"m_weinstein","10","10","ATL","BUF","CAR","CIN","GB","HOU","KC","TB","DAL","TEN","DEN","LAC","SEA","PHI","PIT","NE","43"
"GoPats!!!","10","10","ATL","BUF","MN","CIN","GB","HOU","KC","DET","DAL","AZ","DEN","LAC","SEA","PHI","BAL","NE","51"
"Paradigm","10","10","ATL","IND","CAR","CIN","GB","HOU","KC","DET","DAL","AZ","NYJ","LAC","SEA","PHI","PIT","NE","43"
"Alta Kickers","10","10","ATL","BUF","MN","CIN","GB","HOU","KC","DET","DAL","TEN","NYJ","LAC","JAX","PHI","PIT","NE","51"
"Boldman","10","10","ATL","BUF","MN","CIN","GB","SF","KC","DET","NYG","TEN","NYJ","LAC","JAX","PHI","PIT","NE","54"
"Just Monkeyin' Around","10","10","NO","BUF","CAR","CIN","GB","HOU","KC","DET","DAL","TEN","DEN","LAC","SEA","PHI","PIT","NE","55"
"Bag 'n' Shoes","10","10","NO","BUF","CAR","CHI","GB","HOU","OAK","DET","NYG","AZ","DEN","LAC","SEA","PHI","PIT","NE","58"
"mmillson","10","10","NO","IND","MN","CIN","GB","SF","KC","DET","DAL","TEN","DEN","LAC","JAX","PHI","PIT","NE","60"
"Perjodi","9","9","ATL","BUF","MN","CIN","CLE","HOU","KC","DET","DAL","TEN","NYJ","LAC","JAX","PHI","PIT","NE","47"
"Brubabe","9","9","NO","BUF","MN","CIN","GB","HOU","KC","DET","DAL","TEN","NYJ","LAC","JAX","PHI","PIT","NE","48"
"margate kid","9","9","NO","BUF","MN","CIN","GB","HOU","KC","DET","DAL","TEN","NYJ","LAC","JAX","PHI","PIT","NE","48"
"madbolt","9","9","NO","BUF","CAR","CIN","GB","SF","OAK","DET","NYG","TEN","NYJ","LAC","JAX","PHI","PIT","NE","49"
"davs3b","9","9","NO","BUF","MN","CIN","GB","HOU","KC","TB","DAL","AZ","NYJ","LAC","JAX","PHI","PIT","NE","45"
"tonyppt","9","9","ATL","BUF","MN","CIN","GB","SF","KC","TB","DAL","TEN","NYJ","LAC","SEA","PHI","PIT","NE","45"
"Fire Goodell","9","9","NO","BUF","MN","CIN","GB","SF","OAK","TB","DAL","TEN","DEN","LAC","JAX","PHI","PIT","NE","49"
"Badboybilly","9","9","NO","BUF","MN","CIN","GB","HOU","KC","DET","DAL","TEN","NYJ","LAC","JAX","PHI","PIT","NE","44"
"Jay and Sammy's Gramps","9","9","ATL","BUF","MN","CIN","GB","HOU","KC","DET","DAL","TEN","NYJ","LAC","JAX","LAR","PIT","NE","44"
