"","Score","Potential ScorePerfect: 16","DEN 25@IND 13","CHI 10@DET 20","LAC 13@KC 30","MIA 16@BUF 24","GB 24@CAR 31","BAL 27@CLE 10","HOU 7@JAX 45","CIN 7@MN 34","NYJ 19@NO 31","PHI 34@NYG 29","AZ 15@WAS 20","LAR 42@SEA 7","NE 27@PIT 24","TEN 23@SF 25","DAL 20@OAK 17","ATL 24@TB 21","Tie BreakerPredictionActual: 45"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"HAPPYNESS","15","15","DEN","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","SF","DAL","ATL","48"
"TuesdayMorningQB","15","15","DEN","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","SF","DAL","ATL","48"
"cammax716","15","15","DEN","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","SF","DAL","ATL","52"
"CaneCorbett","15","15","DEN","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","LAR","NE","SF","OAK","ATL","35"
"GoPats!!!","14","14","DEN","DET","KC","MIA","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","SF","DAL","ATL","47"
"Petvet","14","14","DEN","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","SF","DAL","ATL","47"
"GKAT","14","14","DEN","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","SF","OAK","ATL","48"
"sdtrading","14","14","DEN","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","SF","DAL","ATL","48"
"Sparky","14","14","DEN","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","TEN","DAL","ATL","42"
"Mediocre Superiority","14","14","DEN","DET","KC","MIA","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","SF","DAL","ATL","51"
"The Pickmaster","14","14","IND","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","LAR","NE","SF","DAL","ATL","52"
"speedy","14","14","DEN","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","SF","DAL","ATL","36"
"madbolt","13","13","IND","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","LAR","PIT","SF","DAL","ATL","45"
"Cold Steel","13","13","DEN","DET","LAC","MIA","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","SF","DAL","ATL","45"
"CoachJoel57","13","13","DEN","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","LAR","PIT","SF","OAK","ATL","45"
"twinkletoes","13","13","DEN","DET","KC","BUF","GB","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","TEN","DAL","ATL","46"
