"","Score","Potential ScorePerfect: 16","IND 16@BAL 23","MN 16@GB 0","TB 19@CAR 22","CLE 3@CHI 20","DET 17@CIN 26","MIA 13@KC 29","BUF 16@NE 37","ATL 13@NO 23","LAC 14@NYJ 7","LAR 27@TEN 23","DEN 11@WAS 27","JAX 33@SF 44","NYG 0@AZ 23","SEA 21@DAL 12","PIT 34@HOU 6","OAK 10@PHI 19","Tie BreakerPredictionActual: 29"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"Headly IV","14","14","BAL","MN","CAR","CHI","CIN","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","DAL","PIT","PHI","42"
"Badboybilly","14","14","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","SEA","PIT","PHI","44"
"Perjodi","14","14","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","SEA","PIT","PHI","47"
"GEO DOG","14","14","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","SEA","PIT","PHI","47"
"twinkletoes","14","14","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","SEA","PIT","PHI","48"
"cammax716","14","14","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","SEA","PIT","PHI","48"
"Sparky","14","14","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","SF","AZ","DAL","PIT","PHI","48"
"MSE=PA","14","14","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","SEA","PIT","PHI","48"
"CTE DENIERS","14","14","BAL","MN","CAR","CHI","CIN","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","DAL","PIT","PHI","48"
"Howie's Hotdogs","14","14","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","SEA","PIT","PHI","51"
"Neal Scott","14","14","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","SF","AZ","DAL","PIT","PHI","54"
"Just Monkeyin' Around","14","14","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","SEA","PIT","PHI","56"
"Philly Clete","14","14","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","DEN","SF","AZ","SEA","PIT","PHI","56"
"Chessdoc","14","14","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","SEA","PIT","PHI","56"
"Borofskys","14","14","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","SEA","PIT","PHI","57"
"GoPats!!!","14","14","BAL","MN","CAR","CHI","CIN","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","DAL","PIT","PHI","59"
"Dorf","13","13","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","DEN","JAX","AZ","SEA","PIT","PHI","36"
