"","Score","Potential ScorePerfect: 16","GB 11@DET 35","HOU 13@IND 22","CHI 10@MN 23","NYJ 6@NE 26","WAS 10@NYG 18","DAL 6@PHI 0","CLE 24@PIT 28","CAR 10@ATL 22","CIN 31@BAL 27","BUF 22@MIA 16","NO 24@TB 31","JAX 10@TEN 15","KC 27@DEN 24","OAK 10@LAC 30","SF 34@LAR 13","AZ 26@SEA 24","Tie BreakerPredictionActual: 50"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"Keith Sweat Tailor","14","14","DET","IND","MN","NE","NYG","DAL","PIT","ATL","BAL","BUF","TB","TEN","KC","LAC","SF","SEA","0"
"Eggman","13","13","DET","IND","MN","NE","NYG","DAL","PIT","ATL","BAL","BUF","NO","JAX","KC","LAC","SF","AZ","48"
"nugget3016","12","12","DET","IND","MN","NE","NYG","DAL","PIT","ATL","BAL","BUF","NO","TEN","DEN","LAC","SF","SEA","43"
"Kosher Dill","12","12","DET","IND","MN","NE","NYG","DAL","CLE","ATL","BAL","BUF","NO","TEN","KC","LAC","SF","SEA","43"
"Balls Deep","12","12","DET","IND","MN","NE","WAS","DAL","PIT","ATL","CIN","BUF","NO","JAX","KC","LAC","SF","SEA","41"
"madbolt","12","12","DET","IND","MN","NE","NYG","DAL","PIT","ATL","CIN","BUF","NO","TEN","DEN","OAK","SF","SEA","41"
"Jaddie's Daddy","12","12","DET","IND","MN","NE","WAS","DAL","PIT","ATL","BAL","BUF","NO","TEN","KC","LAC","SF","SEA","23"
"howarddmd","11","11","DET","IND","MN","NE","NYG","DAL","PIT","CAR","BAL","BUF","NO","TEN","KC","LAC","LAR","SEA","48"
"Bag 'n' Shoes","11","11","DET","HOU","MN","NE","WAS","DAL","PIT","ATL","BAL","BUF","NO","TEN","DEN","LAC","SF","AZ","52"
"Chessdoc","11","11","DET","IND","MN","NE","NYG","DAL","PIT","CAR","BAL","BUF","NO","TEN","KC","LAC","LAR","SEA","48"
"JMenacker","11","11","DET","IND","MN","NE","NYG","PHI","PIT","ATL","BAL","BUF","TB","JAX","KC","LAC","LAR","SEA","42"
"Perjodi","11","11","DET","IND","MN","NE","WAS","DAL","PIT","ATL","BAL","BUF","NO","TEN","DEN","LAC","SF","SEA","38"
"Pioneers85","11","11","DET","IND","MN","NE","WAS","PHI","PIT","ATL","BAL","BUF","NO","TEN","KC","LAC","SF","SEA","38"
"It's Wentz Time","11","11","DET","IND","MN","NE","WAS","DAL","PIT","ATL","BAL","BUF","NO","TEN","KC","LAC","LAR","SEA","37"
"Headly IV","11","11","DET","IND","MN","NE","WAS","DAL","PIT","ATL","BAL","BUF","NO","TEN","KC","LAC","LAR","SEA","31"
"nc7690","11","11","DET","IND","MN","NE","WAS","DAL","PIT","ATL","BAL","BUF","NO","TEN","DEN","LAC","SF","SEA","28"
"j3live","10","10","DET","IND","MN","NE","WAS","PHI","PIT","ATL","BAL","BUF","NO","TEN","KC","LAC","LAR","SEA","50"
"HAPPYNESS","10","10","DET","IND","MN","NE","WAS","DAL","PIT","ATL","BAL","BUF","NO","TEN","DEN","LAC","LAR","SEA","52"
"CaneCorbett","10","10","DET","IND","MN","NE","WAS","PHI","PIT","ATL","BAL","BUF","NO","TEN","DEN","LAC","SF","SEA","47"
"TuesdayMorningQB","10","10","DET","IND","MN","NE","WAS","DAL","PIT","ATL","BAL","BUF","NO","JAX","DEN","LAC","SF","SEA","54"
"GmenBlues","10","10","DET","IND","MN","NE","NYG","DAL","PIT","ATL","BAL","BUF","NO","JAX","DEN","LAC","LAR","SEA","45"
"CoachJoel57","10","10","DET","IND","MN","NE","NYG","PHI","PIT","ATL","BAL","BUF","NO","TEN","DEN","LAC","LAR","SEA","45"
"Slugger53","10","10","DET","IND","MN","NE","WAS","PHI","PIT","ATL","BAL","BUF","NO","JAX","KC","LAC","SF","SEA","45"
"Badboybilly","10","10","DET","IND","MN","NE","WAS","DAL","PIT","ATL","BAL","BUF","NO","JAX","KC","LAC","LAR","SEA","44"
"Petvet","10","10","DET","IND","MN","NE","WAS","DAL","PIT","CAR","BAL","BUF","NO","JAX","KC","LAC","SF","SEA","44"
"RichieRich$$","10","10","DET","IND","MN","NE","WAS","DAL","PIT","ATL","BAL","BUF","NO","JAX","DEN","LAC","SF","SEA","44"
"tonyppt","10","10","DET","IND","MN","NE","NYG","DAL","PIT","ATL","BAL","MIA","NO","JAX","DEN","LAC","SF","SEA","43"
"cammax716","10","10","DET","IND","MN","NE","WAS","DAL","PIT","CAR","BAL","BUF","NO","TEN","DEN","LAC","SF","SEA","43"
"Mediocre Superiority","10","10","DET","IND","MN","NE","WAS","DAL","CLE","ATL","BAL","BUF","NO","TEN","DEN","LAC","SF","SEA","42"
"sdtrading","10","10","DET","IND","MN","NE","WAS","DAL","PIT","CAR","BAL","BUF","NO","JAX","KC","LAC","SF","SEA","41"
"Paradigm","10","10","DET","HOU","MN","NE","WAS","DAL","PIT","ATL","BAL","BUF","NO","TEN","KC","LAC","LAR","SEA","41"
"Benny","10","10","DET","IND","MN","NE","WAS","DAL","PIT","ATL","BAL","MIA","NO","JAX","KC","LAC","SF","SEA","41"
