"","Score","Potential ScorePerfect: 16","HOU 13@CIN 9","CLE 10@BAL 24","BUF 3@CAR 9","AZ 16@IND 13","TEN 37@JAX 16","PHI 20@KC 27","NE 36@NO 20","MN 9@PIT 26","CHI 7@TB 29","MIA 19@LAC 17","NYJ 20@OAK 45","WAS 27@LAR 20","SF 9@SEA 12","DAL 17@DEN 42","GB 23@ATL 34","DET 24@NYG 10","Tie BreakerPredictionActual: 34"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"Rovner Team","15","15","HOU","BAL","CAR","AZ","TEN","PHI","NE","PIT","TB","MIA","OAK","WAS","SEA","DEN","ATL","DET","44"
"mikemarkowitz","15","15","HOU","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","MIA","OAK","WAS","SEA","DAL","ATL","DET","46"
"Jaddie's Daddy","14","14","CIN","BAL","CAR","AZ","TEN","KC","NO","PIT","TB","MIA","OAK","WAS","SEA","DEN","ATL","DET","34"
"nc7690","14","14","HOU","BAL","CAR","AZ","TEN","KC","NE","MN","TB","MIA","OAK","WAS","SEA","DAL","ATL","DET","36"
"madbolt","14","14","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","MIA","OAK","WAS","SEA","DAL","ATL","DET","29"
"GoPats!!!","13","13","HOU","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","LAC","OAK","WAS","SEA","DAL","ATL","DET","33"
"tnrosen","13","13","CIN","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","MIA","OAK","LAR","SEA","DEN","ATL","DET","35"
"Giant Expectations","13","13","HOU","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","MIA","OAK","LAR","SEA","DEN","GB","NYG","36"
"The Pickmaster","13","13","CIN","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","MIA","OAK","WAS","SEA","DEN","GB","DET","38"
"GeverKriensky","13","13","CIN","BAL","CAR","AZ","TEN","KC","NO","PIT","TB","MIA","OAK","WAS","SEA","DEN","GB","DET","38"
"Kosher Dill","13","13","HOU","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","WAS","SEA","DEN","GB","NYG","43"
"tonyppt","13","13","HOU","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","WAS","SEA","DAL","ATL","NYG","43"
"Abos","13","13","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","ATL","DET","44"
"It's Wentz Time","13","13","HOU","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","ATL","DET","44"
"mteitelman","13","13","HOU","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","MIA","OAK","LAR","SEA","DEN","ATL","NYG","47"
"margate kid","13","13","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","MIA","OAK","WAS","SEA","DAL","ATL","NYG","48"
"Jay and Sammy's Gramps","13","13","HOU","BAL","CAR","AZ","TEN","KC","NO","PIT","CHI","LAC","OAK","WAS","SEA","DEN","ATL","DET","49"
"Dr. Blue","12","12","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DAL","ATL","DET","33"
"barry from miami","12","12","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","MIA","OAK","LAR","SEA","DAL","GB","DET","36"
"jayandhisbubbe","12","12","CIN","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","LAC","OAK","WAS","SEA","DAL","ATL","DET","37"
"cammax716","12","12","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","ATL","NYG","39"
"Sophie's Last Choice","12","12","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","MIA","OAK","LAR","SEA","DAL","GB","DET","41"
"nugget3016","12","12","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","WAS","SEA","DEN","GB","NYG","41"
"Pioneers85","12","12","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","ATL","NYG","41"
"Eggman","12","12","CIN","BAL","CAR","AZ","TEN","KC","NO","PIT","TB","LAC","OAK","LAR","SEA","DEN","ATL","DET","42"
"j3live","12","12","CIN","BAL","CAR","AZ","TEN","PHI","NE","PIT","TB","LAC","OAK","WAS","SEA","DAL","ATL","DET","42"
"TuesdayMorningQB","12","12","HOU","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DAL","ATL","NYG","42"
"Lucky Laits","12","12","CIN","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","MIA","OAK","WAS","SEA","DAL","ATL","NYG","43"
"The System","12","12","CIN","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","LAC","OAK","WAS","SEA","DEN","ATL","NYG","43"
"Paradigm","12","12","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","WAS","SEA","DAL","ATL","NYG","43"
"Balls Deep","12","12","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","WAS","SEA","DAL","ATL","NYG","43"
"Jack Korbutov","12","12","HOU","BAL","CAR","AZ","TEN","PHI","NO","PIT","TB","MIA","OAK","LAR","SEA","DEN","GB","DET","44"
"Keith Sweat Tailor","12","12","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","WAS","SEA","DEN","GB","NYG","44"
"Boldman","12","12","CIN","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","MIA","OAK","LAR","SEA","DAL","ATL","DET","44"
"Borofskys","12","12","CIN","BAL","CAR","AZ","TEN","PHI","NE","PIT","TB","LAC","OAK","WAS","SEA","DEN","GB","DET","45"
"sdtrading","12","12","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DAL","ATL","DET","45"
"KINGOCARZ","12","12","CIN","BAL","CAR","AZ","TEN","PHI","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","ATL","DET","46"
"Mediocre Superiority","12","12","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","MIA","OAK","LAR","SEA","DEN","GB","NYG","46"
"GmenBlues","12","12","HOU","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","ATL","NYG","46"
"twinkletoes","11","11","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","CHI","LAC","OAK","WAS","SEA","DAL","GB","DET","36"
"They Might Be Giants","11","11","HOU","BAL","CAR","AZ","JAX","KC","NE","MN","TB","LAC","OAK","LAR","SEA","DEN","ATL","NYG","37"
"Phillycheese","11","11","CIN","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","ATL","NYG","38"
"CaneCorbett","11","11","CIN","BAL","CAR","AZ","TEN","KC","NO","PIT","CHI","LAC","OAK","WAS","SEA","DAL","ATL","DET","40"
"JMenacker","11","11","CIN","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","MIA","OAK","LAR","SEA","DAL","ATL","NYG","41"
"POOL MEISTER","11","11","CIN","BAL","CAR","AZ","JAX","KC","NO","PIT","TB","LAC","OAK","WAS","SEA","DEN","GB","DET","41"
"howarddmd","11","11","CIN","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DAL","ATL","DET","41"
"speedy","11","11","CIN","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","ATL","NYG","27"
"Used to be BristolDr","11","11","CIN","BAL","CAR","AZ","JAX","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","ATL","NYG","41"
"Brubabe","11","11","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DAL","ATL","NYG","42"
"Badboybilly","11","11","CIN","BAL","CAR","AZ","TEN","PHI","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","GB","DET","44"
"Headly IV","11","11","HOU","BAL","CAR","AZ","TEN","KC","NE","MN","TB","MIA","OAK","LAR","SEA","DAL","GB","NYG","44"
"J Rosenthal","11","11","CIN","BAL","CAR","AZ","TEN","PHI","NE","PIT","TB","LAC","OAK","LAR","SEA","DEN","GB","DET","44"
"Cold Steel","11","11","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DAL","ATL","NYG","44"
"RichieRich$$","11","11","CIN","BAL","CAR","AZ","TEN","PHI","NE","PIT","CHI","LAC","OAK","WAS","SEA","DEN","GB","DET","44"
"Benny","11","11","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DAL","ATL","NYG","45"
"CTE DENIERS","11","11","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DAL","GB","DET","45"
"Big Blue 14","11","11","CIN","BAL","CAR","AZ","TEN","KC","NE","MN","TB","LAC","OAK","LAR","SEA","DEN","ATL","NYG","46"
"MSE=PA","11","11","HOU","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","LAR","SEA","DAL","GB","NYG","47"
"Feins","11","11","CIN","BAL","CAR","AZ","TEN","PHI","NE","PIT","TB","LAC","OAK","WAS","SEA","DEN","GB","NYG","48"
"Philly Clete","11","11","HOU","BAL","CAR","AZ","JAX","PHI","NE","MN","TB","MIA","OAK","LAR","SEA","DAL","ATL","DET","49"
"Alta Kickers","11","11","CIN","BAL","CAR","AZ","TEN","KC","NE","PIT","TB","LAC","OAK","WAS","SEA","DAL","GB","NYG","51"
"West Coast Best Coast","11","11","CIN","BAL","CAR","IND","JAX","KC","NE","PIT","TB","MIA","OAK","LAR","SEA","DEN","ATL","NYG","53"
