"","Score","Potential ScorePerfect: 16","LAR 41@SF 39","BAL 7@JAX 44","DEN 16@BUF 26","NO 34@CAR 13","PIT 17@CHI 23","ATL 30@DET 26","CLE 28@IND 31","TB 17@MN 34","HOU 33@NE 36","MIA 6@NYJ 20","NYG 24@PHI 27","SEA 27@TEN 33","CIN 24@GB 27","KC 24@LAC 10","OAK 10@WAS 27","DAL 28@AZ 17","Tie BreakerPredictionActual: 45"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"Marc Cramer","12","12","LAR","JAX","DEN","CAR","PIT","DET","IND","MN","NE","NYJ","PHI","TEN","GB","KC","WAS","DAL","47"
"Just Monkeyin' Around","12","12","LAR","BAL","DEN","NO","PIT","ATL","IND","TB","NE","NYJ","PHI","TEN","GB","KC","WAS","DAL","43"
"Fire Goodell","12","12","LAR","JAX","BUF","CAR","CHI","ATL","IND","MN","NE","MIA","PHI","SEA","GB","KC","OAK","DAL","69"
"RichieRich$$","11","11","LAR","JAX","DEN","CAR","PIT","ATL","IND","MN","NE","MIA","PHI","TEN","GB","KC","OAK","DAL","46"
"Eggman","11","11","LAR","JAX","DEN","CAR","PIT","ATL","IND","MN","NE","MIA","PHI","TEN","GB","KC","OAK","DAL","43"
"Chessdoc","11","11","LAR","BAL","DEN","CAR","PIT","ATL","IND","MN","NE","MIA","PHI","TEN","GB","KC","WAS","DAL","48"
"m_weinstein","11","11","LAR","JAX","DEN","CAR","CHI","ATL","IND","TB","NE","MIA","PHI","SEA","GB","KC","WAS","DAL","40"
"NadavSchwartz","10","10","LAR","BAL","DEN","NO","PIT","ATL","IND","MN","NE","MIA","PHI","TEN","GB","LAC","WAS","AZ","48"
"West Coast Best Coast","10","10","LAR","BAL","DEN","NO","PIT","ATL","IND","TB","NE","MIA","PHI","TEN","GB","KC","OAK","DAL","40"
"Pioneers85","10","10","SF","JAX","DEN","CAR","PIT","ATL","IND","MN","NE","NYJ","NYG","TEN","GB","KC","WAS","AZ","40"
"Petvet","10","10","LAR","BAL","DEN","CAR","PIT","ATL","IND","MN","NE","MIA","PHI","TEN","GB","KC","OAK","DAL","38"
"Jay and Sammy's Gramps","10","10","LAR","BAL","DEN","NO","PIT","ATL","CLE","MN","NE","MIA","PHI","TEN","GB","KC","OAK","DAL","38"
"maldo","10","10","LAR","JAX","DEN","CAR","PIT","ATL","IND","MN","NE","MIA","NYG","TEN","GB","KC","OAK","DAL","37"
"davs3b","9","9","LAR","BAL","DEN","CAR","PIT","ATL","IND","TB","NE","MIA","PHI","TEN","GB","KC","OAK","DAL","45"
"sdtrading","9","9","SF","BAL","DEN","CAR","PIT","ATL","IND","MN","NE","MIA","PHI","TEN","GB","KC","OAK","DAL","45"
"KINGOCARZ","9","9","-","BAL","DEN","NO","PIT","DET","IND","MN","NE","NYJ","PHI","TEN","GB","KC","OAK","AZ","45"
"Rovner Team","9","9","LAR","BAL","DEN","CAR","PIT","ATL","CLE","MN","NE","MIA","PHI","TEN","GB","KC","OAK","DAL","44"
