"","Score","Potential ScorePerfect: 16","CHI 14@GB 35","NO 20@MIA 0","BUF 23@ATL 17","PIT 26@BAL 9","CIN 31@CLE 7","LAR 35@DAL 30","TEN 14@HOU 57","DET 14@MN 7","CAR 33@NE 30","JAX 20@NYJ 23","SF 15@AZ 18","PHI 26@LAC 24","NYG 23@TB 25","OAK 10@DEN 16","IND 18@SEA 46","WAS 20@KC 29","Tie BreakerPredictionActual: 49"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"KINGOCARZ","12","12","GB","NO","ATL","PIT","CIN","DAL","HOU","DET","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","50"
"Sparky","12","12","GB","NO","ATL","PIT","CIN","DAL","TEN","DET","NE","NYJ","AZ","PHI","TB","DEN","SEA","KC","47"
"Mediocre Superiority","12","12","GB","NO","ATL","PIT","CIN","DAL","HOU","DET","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","46"
"Alta Kickers","11","11","GB","NO","ATL","PIT","CIN","DAL","HOU","DET","NE","NYJ","AZ","PHI","NYG","OAK","SEA","KC","49"
"jtyler15","11","11","GB","MIA","ATL","PIT","CIN","DAL","HOU","DET","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","51"
"West Coast Best Coast","11","11","GB","NO","ATL","PIT","CIN","LAR","HOU","MN","NE","JAX","AZ","PHI","TB","OAK","SEA","KC","52"
"cammax716","11","11","GB","NO","ATL","PIT","CIN","DAL","TEN","DET","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","45"
"CaneCorbett","11","11","GB","NO","ATL","PIT","CIN","DAL","TEN","DET","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","44"
"JMenacker","11","11","GB","NO","ATL","PIT","CIN","LAR","HOU","MN","NE","JAX","AZ","PHI","NYG","DEN","SEA","KC","42"
"Big Blue 14","11","11","GB","NO","ATL","PIT","CIN","DAL","HOU","MN","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","42"
"Howie's Hotdogs","11","11","GB","NO","ATL","PIT","CIN","DAL","HOU","MN","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","40"
"Dorf","11","11","GB","MIA","ATL","PIT","CIN","DAL","HOU","DET","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","36"
"GoPats!!!","11","11","GB","NO","ATL","PIT","CLE","DAL","HOU","DET","NE","NYJ","AZ","PHI","TB","OAK","SEA","KC","32"
"Perjodi","10","10","GB","MIA","ATL","PIT","CIN","DAL","HOU","DET","NE","JAX","AZ","PHI","TB","OAK","SEA","KC","49"
"POOL MEISTER","10","10","GB","MIA","ATL","PIT","CLE","LAR","TEN","DET","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","50"
"Torch","10","10","GB","NO","ATL","PIT","CIN","DAL","HOU","MN","NE","JAX","AZ","PHI","NYG","DEN","SEA","KC","48"
"Paradigm","10","10","GB","NO","ATL","BAL","CIN","DAL","HOU","MN","NE","NYJ","AZ","PHI","TB","OAK","SEA","KC","48"
"Cold Steel","10","10","GB","NO","ATL","PIT","CIN","DAL","TEN","MN","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","50"
"margate kid","10","10","GB","MIA","ATL","PIT","CIN","DAL","HOU","DET","NE","JAX","AZ","LAC","TB","DEN","SEA","KC","50"
"howarddmd","10","10","GB","NO","ATL","PIT","CIN","DAL","HOU","DET","NE","JAX","AZ","PHI","NYG","OAK","SEA","KC","48"
"davs3b","10","10","GB","NO","ATL","PIT","CIN","DAL","TEN","MN","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","48"
"It's Wentz Time","10","10","GB","NO","ATL","PIT","CIN","DAL","TEN","DET","NE","JAX","AZ","PHI","TB","OAK","SEA","KC","51"
"Eggman","10","10","GB","NO","ATL","PIT","CIN","DAL","TEN","DET","NE","JAX","AZ","LAC","TB","DEN","SEA","KC","52"
"The Pickmaster","10","10","GB","NO","ATL","PIT","CIN","DAL","HOU","MN","NE","NYJ","AZ","LAC","NYG","DEN","SEA","KC","46"
"GEO DOG","10","10","GB","NO","ATL","BAL","CIN","DAL","TEN","DET","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","52"
"Brubabe","10","10","GB","NO","ATL","PIT","CLE","DAL","TEN","DET","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","45"
"NadavSchwartz","10","10","GB","NO","ATL","PIT","CLE","DAL","TEN","DET","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","45"
"Used to be BristolDr","10","10","GB","NO","ATL","PIT","CIN","DAL","TEN","MN","NE","NYJ","AZ","PHI","TB","OAK","SEA","KC","45"
"jayandhisbubbe","10","10","GB","MIA","ATL","PIT","CIN","DAL","HOU","MN","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","44"
"Badboybilly","10","10","GB","NO","ATL","PIT","CIN","DAL","HOU","DET","NE","JAX","AZ","PHI","NYG","DEN","SEA","WAS","44"
"m_weinstein","10","10","GB","MIA","ATL","BAL","CIN","DAL","HOU","DET","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","43"
"Phillycheese","10","10","GB","NO","ATL","PIT","CIN","DAL","TEN","MN","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","42"
"sdtrading","10","10","GB","NO","ATL","PIT","CIN","DAL","TEN","MN","NE","JAX","AZ","PHI","TB","DEN","SEA","KC","41"
"Borofskys","10","10","GB","NO","ATL","PIT","CIN","DAL","TEN","DET","NE","JAX","AZ","PHI","TB","OAK","SEA","KC","39"
"maldo","10","10","GB","NO","ATL","PIT","CIN","DAL","TEN","DET","NE","JAX","AZ","PHI","NYG","DEN","SEA","KC","37"
"twinkletoes","10","10","GB","NO","ATL","PIT","CIN","DAL","HOU","MN","NE","JAX","AZ","PHI","NYG","DEN","SEA","KC","36"
