"","Score","Potential ScorePerfect: 14","NE 19@TB 14","BUF 16@CIN 20","NYJ 17@CLE 14","CAR 27@DET 24","SF 23@IND 26","TEN 10@MIA 16","LAC 27@NYG 22","AZ 7@PHI 34","JAX 30@PIT 9","SEA 16@LAR 10","BAL 30@OAK 17","GB 35@DAL 31","KC 42@HOU 34","MN 20@CHI 17","Tie BreakerPredictionActual: 37"
"","","click for stats:","","","","","","","","","","","","","","","[?]"
"Phillycheese","12","12","NE","CIN","NYJ","CAR","IND","MIA","NYG","PHI","PIT","SEA","BAL","GB","KC","MN","35"
"barry from miami","10","10","NE","CIN","CLE","CAR","IND","MIA","NYG","PHI","PIT","SEA","OAK","GB","KC","MN","36"
"tonyppt","10","10","NE","CIN","NYJ","CAR","SF","TEN","NYG","PHI","PIT","SEA","BAL","GB","KC","MN","38"
"Mediocre Superiority","10","10","NE","CIN","CLE","CAR","IND","MIA","NYG","PHI","PIT","SEA","BAL","DAL","KC","MN","41"
"mmillson","10","10","NE","CIN","NYJ","CAR","IND","TEN","NYG","PHI","PIT","SEA","BAL","GB","KC","CHI","41"
"Petvet","10","10","NE","BUF","NYJ","CAR","IND","MIA","NYG","PHI","PIT","LAR","BAL","GB","KC","MN","42"
"CaneCorbett","10","10","TB","BUF","NYJ","CAR","SF","MIA","LAC","PHI","PIT","SEA","BAL","GB","KC","MN","42"
"GeverKriensky","10","10","NE","CIN","CLE","DET","IND","MIA","LAC","PHI","PIT","SEA","BAL","GB","HOU","MN","31"
"Badboybilly","10","10","NE","BUF","NYJ","DET","IND","MIA","LAC","PHI","PIT","SEA","BAL","GB","HOU","MN","44"
"tnrosen","10","10","NE","CIN","NYJ","CAR","SF","TEN","LAC","PHI","PIT","SEA","OAK","GB","KC","MN","28"
"Sparky","9","9","NE","CIN","NYJ","DET","IND","TEN","NYG","PHI","PIT","SEA","BAL","GB","HOU","MN","36"
"HayMadEm","9","9","NE","CIN","NYJ","DET","IND","TEN","LAC","PHI","PIT","LAR","BAL","GB","KC","CHI","35"
"Jack Korbutov","9","9","NE","BUF","CLE","DET","IND","MIA","NYG","PHI","PIT","SEA","BAL","GB","KC","MN","41"
"JMenacker","9","9","NE","BUF","NYJ","CAR","SF","TEN","LAC","PHI","JAX","LAR","OAK","GB","KC","MN","42"
"CTE DENIERS","9","9","NE","CIN","NYJ","DET","IND","MIA","NYG","PHI","PIT","LAR","BAL","GB","KC","CHI","42"
"West Coast Best Coast","9","9","NE","BUF","NYJ","CAR","IND","TEN","NYG","PHI","JAX","LAR","OAK","GB","KC","MN","43"
"mteitelman","9","9","NE","CIN","CLE","DET","IND","MIA","NYG","PHI","PIT","SEA","BAL","GB","KC","CHI","43"
"Just Monkeyin' Around","9","9","NE","BUF","NYJ","CAR","SF","TEN","LAC","PHI","PIT","SEA","BAL","DAL","KC","MN","43"
"Paradigm","9","9","NE","CIN","NYJ","DET","IND","TEN","NYG","PHI","PIT","SEA","OAK","GB","KC","MN","43"
