"","Score","Potential ScorePerfect: 14","PHI 28@CAR 23","MIA 20@ATL 17","CHI 27@BAL 24","CLE 17@HOU 33","GB 10@MN 23","DET 38@NO 52","NE 24@NYJ 17","SF 24@WAS 26","TB 33@AZ 38","LAR 27@JAX 17","PIT 19@KC 13","LAC 17@OAK 16","NYG 23@DEN 10","IND 22@TEN 36","Tie BreakerPredictionActual: 58"
"","","click for stats:","","","","","","","","","","","","","","","[?]"
"The System","12","12","PHI","ATL","CHI","HOU","MN","NO","NE","WAS","AZ","LAR","PIT","LAC","DEN","TEN","44"
"Bag 'n' Shoes","10","10","PHI","MIA","CHI","HOU","GB","NO","NE","WAS","AZ","LAR","KC","OAK","DEN","TEN","41"
"HayMadEm","10","10","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","LAR","PIT","LAC","DEN","TEN","35"
"twinkletoes","9","9","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","LAR","PIT","LAC","DEN","TEN","38"
"Geve and Steve","9","9","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","JAX","PIT","LAC","NYG","IND","32"
"RichieRich$$","8","8","PHI","ATL","CHI","HOU","MN","NO","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","52"
"Torch","8","8","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","JAX","PIT","OAK","DEN","TEN","48"
"NadavSchwartz","8","8","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","LAR","KC","LAC","DEN","TEN","44"
"Just Monkeyin' Around","8","8","PHI","ATL","BAL","HOU","GB","DET","NE","WAS","AZ","LAR","KC","LAC","DEN","TEN","43"
"GeverKriensky","8","8","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","LAR","KC","OAK","DEN","TEN","43"
"Kosher Dill","8","8","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","TB","LAR","PIT","OAK","DEN","TEN","43"
"GmenBlues","8","8","CAR","ATL","BAL","HOU","MN","NO","NE","WAS","AZ","JAX","KC","OAK","NYG","TEN","42"
"tnrosen","8","8","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","LAR","KC","OAK","DEN","TEN","32"
"Fire Goodell","8","8","CAR","ATL","CHI","HOU","MN","NO","NE","WAS","TB","JAX","KC","LAC","DEN","TEN","24"
"Philly Clete","7","7","PHI","ATL","BAL","HOU","GB","NO","NE","SF","TB","LAR","PIT","OAK","DEN","TEN","58"
"j3live","7","7","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","JAX","KC","OAK","DEN","TEN","47"
"Mediocre Superiority","7","7","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","JAX","KC","LAC","DEN","TEN","46"
"nugget3016","7","7","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","JAX","PIT","OAK","DEN","TEN","45"
"Marc Cramer","7","7","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","JAX","KC","OAK","DEN","TEN","44"
"GoPats!!!","7","7","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","JAX","KC","OAK","DEN","TEN","44"
"Rovner Team","7","7","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","TB","LAR","KC","OAK","DEN","TEN","44"
"madbolt","7","7","CAR","ATL","CHI","HOU","GB","DET","NE","WAS","TB","LAR","KC","LAC","DEN","TEN","44"
"POOL MEISTER","7","7","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","TB","LAR","PIT","OAK","DEN","IND","43"
"tonyppt","7","7","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","TB","LAR","KC","LAC","DEN","TEN","42"
"howarddmd","7","7","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","JAX","KC","LAC","DEN","TEN","41"
"Jack Korbutov","7","7","PHI","ATL","BAL","HOU","GB","DET","NE","WAS","AZ","JAX","KC","LAC","DEN","TEN","41"
"KINGOCARZ","7","7","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","JAX","KC","OAK","DEN","TEN","41"
"Feins","7","7","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","KC","LAC","DEN","TEN","41"
"Boldman","7","7","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","TB","LAR","KC","OAK","DEN","TEN","41"
"maldo","7","7","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","LAR","KC","OAK","DEN","TEN","40"
"Borofskys","7","7","PHI","ATL","BAL","HOU","GB","DET","NE","WAS","TB","LAR","PIT","OAK","DEN","TEN","39"
"Pioneers85","7","7","CAR","ATL","BAL","HOU","MN","DET","NYJ","WAS","AZ","JAX","PIT","LAC","DEN","TEN","37"
"Alta Kickers","6","6","PHI","ATL","CHI","HOU","GB","DET","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","55"
"The Pickmaster","6","6","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","TB","LAR","KC","LAC","DEN","IND","54"
"Slugger53","6","6","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","50"
"HAPPYNESS","6","6","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","PIT","OAK","DEN","TEN","47"
"Keith Sweat Tailor","6","6","CAR","ATL","BAL","HOU","MN","DET","NE","WAS","TB","JAX","KC","LAC","DEN","TEN","46"
"Perjodi","6","6","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","KC","LAC","DEN","TEN","45"
