"","Score","Potential ScorePerfect: 15","KC 30@OAK 31","TB 27@BUF 30","CAR 3@CHI 17","TEN 12@CLE 9","NO 26@GB 17","JAX 27@IND 0","AZ 0@LAR 33","NYJ 28@MIA 31","BAL 16@MN 24","DAL 40@SF 10","CIN 14@PIT 29","DEN 0@LAC 21","SEA 24@NYG 7","ATL 7@NE 23","WAS 24@PHI 34","Tie BreakerPredictionActual: 58"
"","","click for stats:","","","","","","","","","","","","","","","","[?]"
"GEO DOG","13","13","KC","BUF","CHI","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","DEN","SEA","NE","PHI","54"
"Eggman366","13","13","-","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","LAC","SEA","NE","PHI","50"
"HAPPYNESS","13","13","OAK","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","DEN","SEA","NE","PHI","49"
"howarddmd","13","13","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","LAC","SEA","NE","PHI","48"
"Petvet","13","13","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","LAC","SEA","NE","PHI","47"
"Brubabe","13","13","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","LAC","SEA","NE","PHI","45"
"J Rosenthal","13","13","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","LAC","SEA","NE","PHI","42"
"nc7690","12","12","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","LAC","SEA","NE","WAS","58"
"barry from miami","12","12","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","DEN","SEA","NE","PHI","59"
"Benny","12","12","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","LAC","NYG","NE","PHI","51"
"CoachJoel57","12","12","OAK","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","DEN","NYG","NE","PHI","49"
"Cold Steel","12","12","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","DEN","SEA","NE","PHI","49"
"KINGOCARZ","12","12","OAK","BUF","CAR","TEN","NO","IND","AZ","MIA","MN","DAL","PIT","LAC","SEA","NE","PHI","49"
"margate kid","12","12","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","DEN","SEA","NE","PHI","49"
"Marc Cramer","12","12","OAK","BUF","CAR","TEN","GB","JAX","LAR","MIA","MN","DAL","PIT","DEN","SEA","NE","PHI","48"
"nugget3016","12","12","OAK","BUF","CAR","TEN","NO","IND","AZ","MIA","MN","DAL","PIT","LAC","SEA","NE","PHI","48"
"The Pickmaster","12","12","KC","BUF","CHI","TEN","NO","JAX","LAR","MIA","MN","DAL","CIN","LAC","NYG","NE","PHI","46"
"Sparky","12","12","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","BAL","DAL","PIT","LAC","SEA","NE","PHI","46"
"Feins","12","12","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","DEN","SEA","NE","PHI","45"
"Neal Scott","12","12","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","DEN","SEA","NE","PHI","44"
"JMenacker","12","12","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","DEN","SEA","NE","PHI","42"
"GoPats!!!","12","12","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","DEN","SEA","NE","PHI","41"
"Dorf","12","12","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","DEN","SEA","NE","PHI","36"
"tnrosen","12","12","KC","BUF","CAR","TEN","NO","JAX","LAR","MIA","MN","DAL","PIT","LAC","SEA","ATL","PHI","34"
"Sophie's Last Choice","11","11","KC","BUF","CAR","TEN","NO","JAX","LAR","NYJ","MN","DAL","PIT","DEN","SEA","NE","PHI","57"
"MSE=PA","11","11","KC","BUF","CAR","TEN","NO","JAX","AZ","MIA","MN","DAL","PIT","DEN","SEA","NE","PHI","56"
"CTE DENIERS","11","11","KC","BUF","CAR","TEN","NO","IND","LAR","MIA","MN","DAL","PIT","LAC","SEA","ATL","PHI","56"
