"","Score","Potential ScorePerfect: 13","MIA 0@BAL 40","MN 33@CLE 16","OAK 14@BUF 34","IND 23@CIN 24","LAC 13@NE 21","CHI 12@NO 20","ATL 25@NYJ 20","SF 10@PHI 33","CAR 17@TB 3","HOU 38@SEA 41","DAL 33@WAS 19","PIT 20@DET 15","DEN 19@KC 29","Tie BreakerPredictionActual: 48"
"","","click for stats:","","","","","","","","","","","","","","[?]"
"GmenBlues","13","13","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","PIT","KC","47"
"Bag 'n' Shoes","13","13","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","PIT","KC","42"
"tonyppt","13","13","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","PIT","KC","41"
"GKAT","13","13","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","PIT","KC","38"
"Alta Kickers","12","12","BAL","MN","BUF","CIN","NE","CHI","ATL","PHI","CAR","SEA","DAL","PIT","KC","49"
"Torch","12","12","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","DAL","PIT","KC","46"
"J Rosenthal","12","12","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","DAL","PIT","KC","46"
"CTE DENIERS","12","12","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","DAL","PIT","KC","46"
"margate kid","12","12","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","DAL","PIT","KC","46"
"mteitelman","12","12","BAL","MN","BUF","CIN","NE","NO","NYJ","PHI","CAR","SEA","DAL","PIT","KC","44"
"Petvet","12","12","MIA","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","PIT","KC","44"
"MSE=PA","12","12","MIA","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","PIT","KC","44"
"Sparky","12","12","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","DET","KC","44"
"nugget3016","12","12","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","SEA","WAS","PIT","KC","42"
"Boldman","12","12","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","DAL","PIT","KC","42"
"HayMadEm","12","12","BAL","MN","OAK","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","PIT","KC","42"
"NadavSchwartz","12","12","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","SEA","WAS","PIT","KC","41"
"twinkletoes","12","12","BAL","MN","OAK","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","PIT","KC","40"
"jayandhisbubbe","12","12","BAL","MN","OAK","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","PIT","KC","38"
"howarddmd","11","11","MIA","MN","OAK","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","PIT","KC","48"
"Big Blue 14","11","11","MIA","MN","OAK","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","PIT","KC","48"
"jtyler15","11","11","MIA","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","DET","KC","48"
"Benny","11","11","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","DAL","DET","KC","48"
"GEO DOG","11","11","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","WAS","PIT","KC","48"
"Eggman366","11","11","MIA","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","DAL","PIT","KC","47"
"POOL MEISTER","11","11","MIA","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","SEA","WAS","PIT","KC","50"
"Marc Cramer","11","11","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","SEA","WAS","DET","KC","46"
"Slugger53","11","11","MIA","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","SEA","WAS","PIT","KC","50"
"Giant Expectations","11","11","MIA","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","SEA","WAS","PIT","KC","51"
"sdtrading","11","11","MIA","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","HOU","DAL","PIT","KC","45"
"HAPPYNESS","11","11","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","WAS","PIT","KC","44"
"Cold Steel","11","11","MIA","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","DAL","PIT","KC","44"
"Neal Scott","11","11","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","WAS","PIT","KC","44"
