"","Score","Potential ScorePerfect: 13","BUF 21@NYJ 34","ATL 17@CAR 20","IND 20@HOU 14","CIN 7@JAX 23","TB 10@NO 30","LAR 51@NYG 17","DEN 23@PHI 51","BAL 20@TEN 23","AZ 20@SF 10","WAS 17@SEA 14","KC 17@DAL 28","OAK 27@MIA 24","DET 30@GB 17","Tie BreakerPredictionActual: 47"
"","","click for stats:","","","","","","","","","","","","","","[?]"
"Petvet","11","11","NYJ","CAR","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","DAL","OAK","DET","43"
"West Coast Best Coast","11","11","BUF","CAR","IND","JAX","NO","LAR","PHI","TEN","AZ","WAS","KC","OAK","DET","39"
"Bag 'n' Shoes","11","11","NYJ","CAR","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","DAL","OAK","DET","36"
"tonyppt","10","10","NYJ","CAR","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","DAL","OAK","GB","45"
"RichieRich$$","10","10","NYJ","ATL","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","DAL","OAK","DET","44"
"CTE DENIERS","10","10","BUF","CAR","IND","JAX","NO","LAR","PHI","TEN","AZ","SEA","KC","OAK","DET","42"
"howarddmd","10","10","BUF","CAR","IND","JAX","NO","LAR","PHI","BAL","AZ","SEA","DAL","OAK","DET","41"
"GoPats!!!","10","10","BUF","CAR","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","DAL","OAK","DET","36"
"Sparky","10","10","NYJ","ATL","IND","JAX","NO","LAR","PHI","TEN","AZ","SEA","DAL","OAK","GB","36"
"tnrosen","10","10","BUF","CAR","IND","JAX","NO","LAR","PHI","TEN","SF","SEA","DAL","OAK","DET","34"
"HAPPYNESS","10","10","BUF","CAR","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","DAL","OAK","DET","0"
"Dr. Blue","9","9","NYJ","CAR","HOU","JAX","NO","NYG","PHI","TEN","SF","SEA","DAL","OAK","DET","47"
"JMenacker","9","9","BUF","CAR","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","KC","OAK","DET","45"
"sdtrading","9","9","BUF","ATL","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","DAL","OAK","DET","45"
"J Rosenthal","9","9","BUF","CAR","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","KC","OAK","DET","49"
"Chessdoc","9","9","BUF","ATL","HOU","JAX","NO","LAR","PHI","TEN","AZ","WAS","DAL","OAK","GB","45"
"Brubabe","9","9","NYJ","CAR","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","KC","MIA","DET","44"
"Feins","9","9","BUF","CAR","HOU","JAX","NO","NYG","PHI","TEN","AZ","WAS","DAL","MIA","DET","44"
"Neal Scott","9","9","BUF","CAR","HOU","JAX","NO","NYG","PHI","TEN","AZ","WAS","KC","OAK","DET","44"
"Cold Steel","9","9","BUF","CAR","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","DAL","MIA","DET","43"
"Kosher Dill","9","9","NYJ","ATL","IND","CIN","NO","LAR","PHI","TEN","AZ","SEA","DAL","OAK","GB","43"
"KINGOCARZ","9","9","NYJ","CAR","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","KC","OAK","GB","43"
"Paradigm","9","9","BUF","CAR","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","KC","OAK","DET","41"
"CoachJoel57","9","9","BUF","CAR","HOU","JAX","NO","LAR","PHI","BAL","AZ","SEA","DAL","OAK","DET","41"
"Jaddie's Daddy","9","9","BUF","CAR","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","KC","OAK","DET","40"
"Philly Clete","9","9","NYJ","CAR","IND","CIN","NO","LAR","PHI","TEN","AZ","SEA","DAL","MIA","GB","56"
"HayMadEm","9","9","BUF","ATL","IND","JAX","NO","LAR","PHI","TEN","AZ","SEA","KC","OAK","DET","35"
"Sophie's Last Choice","8","8","BUF","CAR","HOU","CIN","NO","LAR","PHI","TEN","AZ","SEA","DAL","OAK","GB","47"
"Lucky Laits","8","8","BUF","CAR","HOU","JAX","NO","NYG","PHI","BAL","AZ","SEA","DAL","OAK","DET","47"
"Howie's Hotdogs","8","8","NYJ","ATL","HOU","CIN","NO","LAR","PHI","TEN","AZ","SEA","KC","OAK","DET","46"
"davs3b","8","8","BUF","CAR","HOU","JAX","NO","LAR","PHI","TEN","SF","SEA","KC","OAK","DET","45"
"Just Monkeyin' Around","8","8","BUF","CAR","HOU","JAX","NO","LAR","PHI","TEN","SF","SEA","KC","OAK","DET","45"
"jtyler15","8","8","BUF","ATL","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","KC","OAK","DET","45"
"mmillson","8","8","NYJ","CAR","IND","JAX","TB","LAR","PHI","BAL","AZ","SEA","KC","OAK","GB","49"
"margate kid","8","8","BUF","ATL","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","KC","OAK","DET","45"
"Phillycheese","8","8","BUF","CAR","HOU","JAX","NO","LAR","PHI","BAL","AZ","SEA","KC","OAK","DET","44"
"MSE=PA","8","8","BUF","ATL","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","DAL","OAK","GB","44"
"Rovner Team","8","8","-","ATL","HOU","JAX","NO","NYG","PHI","TEN","AZ","SEA","DAL","OAK","DET","44"
"Perjodi","8","8","BUF","CAR","HOU","JAX","NO","NYG","PHI","TEN","AZ","SEA","KC","OAK","DET","43"
"The Pickmaster","8","8","BUF","CAR","HOU","JAX","NO","LAR","PHI","BAL","AZ","SEA","KC","OAK","DET","51"
"GEO DOG","8","8","BUF","CAR","HOU","JAX","NO","LAR","PHI","BAL","AZ","SEA","KC","OAK","DET","51"
"TShelly","8","8","BUF","ATL","IND","JAX","NO","LAR","PHI","TEN","AZ","SEA","KC","MIA","DET","43"
