"","Score","Potential ScorePerfect: 16","ATL 12@PHI 18","BUF 3@BAL 47","JAX 20@NYG 15","TB 48@NO 40","HOU 20@NE 27","SF 16@MN 24","CIN 34@IND 23","PIT 21@CLE 21","KC 38@LAC 28","SEA 24@DEN 27","DAL 8@CAR 16","WAS 24@AZ 6","TEN 20@MIA 27","CHI 23@GB 24","NYJ 48@DET 17","LAR 33@OAK 13","Tie BreakerPredictionActual: 46"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"j3live","13","13","PHI","BAL","JAX","NO","NE","MN","IND","PIT","KC","DEN","CAR","WAS","TEN","GB","NYJ","LAR","48"
"Larry1223","13","13","PHI","BAL","JAX","TB","NE","MN","CIN","PIT","KC","SEA","CAR","WAS","MIA","GB","DET","OAK","42"
"GKAT28","12","12","PHI","BUF","JAX","NO","NE","MN","CIN","PIT","KC","SEA","CAR","WAS","MIA","GB","DET","LAR","45"
"BADBOYBILLY","12","12","PHI","BAL","JAX","NO","NE","MN","CIN","PIT","LAC","DEN","CAR","WAS","TEN","GB","DET","LAR","44"
"Wentz is Jewish","12","12","PHI","BAL","JAX","NO","NE","MN","CIN","PIT","LAC","SEA","DAL","WAS","MIA","GB","NYJ","LAR","44"
"Joe Cell Man","12","12","PHI","BAL","JAX","NO","NE","MN","CIN","PIT","LAC","DEN","CAR","WAS","TEN","GB","DET","LAR","48"
"USMC1125","12","12","PHI","BAL","JAX","NO","NE","MN","CIN","PIT","LAC","DEN","CAR","WAS","TEN","GB","DET","LAR","42"
"Sparky","12","12","PHI","BAL","JAX","NO","NE","MN","IND","PIT","KC","DEN","CAR","AZ","MIA","GB","DET","LAR","40"
"madbolt","12","12","ATL","BAL","JAX","NO","NE","MN","CIN","PIT","LAC","DEN","CAR","WAS","MIA","GB","NYJ","OAK","52"
"Teddy","12","12","PHI","BAL","JAX","NO","NE","MN","IND","PIT","KC","DEN","CAR","WAS","TEN","GB","DET","LAR","31"
"Maven","11","11","PHI","BAL","JAX","NO","NE","MN","CIN","PIT","KC","SEA","CAR","AZ","MIA","GB","DET","OAK","45"
"coach1","11","11","ATL","BAL","JAX","NO","NE","MN","CIN","PIT","LAC","DEN","CAR","WAS","TEN","GB","DET","LAR","45"
"Fein Men","11","11","PHI","BAL","JAX","NO","NE","MN","IND","PIT","LAC","SEA","CAR","WAS","MIA","GB","DET","LAR","47"
"Jack","11","11","PHI","BAL","JAX","NO","NE","MN","IND","PIT","KC","SEA","CAR","AZ","MIA","GB","DET","LAR","44"
"Torch","11","11","PHI","BAL","JAX","NO","NE","MN","IND","PIT","KC","SEA","CAR","WAS","TEN","GB","DET","LAR","48"
"sdtrading","11","11","ATL","BAL","JAX","NO","NE","MN","CIN","PIT","LAC","DEN","CAR","AZ","MIA","GB","DET","LAR","48"
"Eggman","11","11","PHI","BAL","JAX","NO","NE","MN","IND","PIT","KC","DEN","CAR","AZ","TEN","GB","DET","LAR","44"
"Cold Steel","11","11","ATL","BAL","JAX","NO","NE","MN","IND","PIT","LAC","DEN","CAR","WAS","MIA","GB","DET","LAR","48"
"Z-Man","11","11","ATL","BAL","JAX","NO","NE","MN","IND","CLE","KC","DEN","CAR","AZ","MIA","GB","DET","LAR","44"
"king","11","11","PHI","BAL","JAX","NO","NE","MN","IND","PIT","KC","DEN","CAR","AZ","TEN","GB","DET","LAR","48"
"Jay's Gramps","11","11","PHI","BAL","JAX","NO","HOU","MN","CIN","PIT","LAC","SEA","CAR","AZ","MIA","GB","NYJ","LAR","43"
"Barry from Miami","11","11","PHI","BAL","JAX","NO","NE","MN","IND","PIT","LAC","DEN","CAR","AZ","MIA","GB","DET","LAR","49"
"Cramer","11","11","PHI","BAL","JAX","NO","NE","MN","IND","CLE","LAC","DEN","CAR","AZ","MIA","GB","DET","LAR","50"
"Fire Goodell","11","11","ATL","BAL","JAX","NO","NE","MN","IND","PIT","LAC","DEN","CAR","WAS","MIA","GB","DET","LAR","42"
"jtyler15","11","11","PHI","BAL","JAX","NO","NE","MN","IND","PIT","KC","DEN","CAR","AZ","TEN","GB","DET","LAR","42"
"Pauly12","11","11","ATL","BAL","JAX","NO","NE","MN","CIN","CLE","LAC","DEN","CAR","WAS","TEN","GB","DET","LAR","50"
"StamfordPhil","11","11","PHI","BAL","JAX","NO","NE","MN","CIN","PIT","LAC","DEN","CAR","AZ","TEN","GB","DET","LAR","41"
"GEO DOG","11","11","PHI","BAL","JAX","NO","NE","MN","CIN","PIT","KC","SEA","CAR","AZ","TEN","GB","DET","LAR","41"
"POOL MEISTER","11","11","PHI","BAL","JAX","NO","NE","MN","IND","PIT","KC","DEN","CAR","AZ","TEN","GB","DET","LAR","52"
