"","Score","Potential ScorePerfect: 14","CAR 21@PIT 52","NO 51@CIN 14","ATL 16@CLE 28","JAX 26@IND 29","DET 22@CHI 34","AZ 14@KC 26","NE 10@TEN 34","WAS 16@TB 3","BUF 41@NYJ 10","LAC 20@OAK 6","MIA 12@GB 31","SEA 31@LAR 36","DAL 27@PHI 20","NYG 27@SF 23","Tie BreakerPredictionActual: 50"
"","","click for stats:","","","","","","","","","","","","","","","[?]"
"egever","11","11","PIT","NO","CLE","IND","CHI","KC","NE","TB","BUF","LAC","GB","LAR","PHI","NYG","40"
"Kosher Dilly Dilly","10","10","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","DAL","NYG","51"
"StamfordPhil","10","10","PIT","NO","ATL","IND","CHI","KC","NE","WAS","BUF","LAC","GB","LAR","PHI","SF","45"
"Petvet","10","10","PIT","NO","CLE","IND","CHI","KC","NE","WAS","NYJ","LAC","GB","LAR","PHI","SF","44"
"Boldman","10","10","PIT","NO","ATL","IND","CHI","KC","TEN","TB","NYJ","LAC","GB","LAR","PHI","NYG","44"
"Pioneers85","10","10","PIT","NO","ATL","IND","CHI","KC","TEN","TB","NYJ","LAC","GB","LAR","PHI","NYG","40"
"howarddmd","9","9","PIT","NO","ATL","IND","CHI","KC","NE","WAS","NYJ","LAC","GB","LAR","PHI","SF","50"
"Alec B","9","9","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","NYG","49"
"Z-Man","9","9","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","NYG","48"
"Dental Plan","9","9","CAR","NO","ATL","IND","CHI","KC","NE","WAS","NYJ","LAC","GB","LAR","DAL","SF","48"
"BADBOYBILLY","9","9","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","NYG","44"
"TuesdayMorningQB","9","9","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","NYG","44"
"Pauly12","9","9","PIT","NO","ATL","IND","CHI","KC","NE","WAS","NYJ","LAC","GB","LAR","PHI","SF","44"
"Teddy","9","9","PIT","NO","ATL","IND","CHI","KC","NE","WAS","NYJ","LAC","GB","LAR","PHI","SF","56"
"Davs3b","9","9","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","NYG","43"
"El Presidente","9","9","PIT","NO","ATL","IND","CHI","KC","NE","WAS","NYJ","LAC","GB","LAR","PHI","SF","42"
"Lucky Laits","9","9","PIT","CIN","ATL","IND","DET","KC","NE","WAS","BUF","LAC","GB","LAR","PHI","NYG","42"
"Twinkletoes","9","9","PIT","NO","ATL","IND","CHI","KC","NE","WAS","NYJ","LAC","GB","LAR","PHI","SF","42"
"Giant Blues","9","9","-","NO","ATL","IND","CHI","KC","NE","TB","BUF","LAC","GB","LAR","PHI","NYG","42"
