"","Score","Potential ScorePerfect: 13","GB 24@SEA 27","CIN 21@BAL 24","CAR 19@DET 20","TEN 10@IND 38","DAL 22@ATL 19","TB 35@NYG 38","HOU 23@WAS 21","PIT 20@JAX 16","DEN 23@LAC 22","OAK 23@AZ 21","PHI 7@NO 48","MN 20@CHI 25","KC 51@LAR 54","Tie BreakerPredictionActual: 105"
"","","click for stats:","","","","","","","","","","","","","","[?]"
"HAPPY NESS","9","9","SEA","BAL","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","LAR","64"
"speedy","9","9","SEA","BAL","DET","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","KC","62"
"Sparky","9","9","SEA","CIN","CAR","IND","DAL","NYG","HOU","PIT","LAC","AZ","NO","CHI","LAR","56"
"TuesdayMorningQB","9","9","GB","BAL","CAR","IND","DAL","NYG","HOU","PIT","LAC","AZ","NO","CHI","LAR","56"
"StamfordPhil","9","9","SEA","BAL","CAR","IND","DAL","NYG","HOU","PIT","LAC","AZ","NO","MN","LAR","55"
"Perjodi","9","9","SEA","BAL","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","LAR","53"
"Nugget2018","8","8","SEA","BAL","CAR","IND","ATL","NYG","WAS","PIT","LAC","OAK","NO","MN","LAR","69"
"Pioneers85","8","8","SEA","BAL","CAR","TEN","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","LAR","66"
"Barry from Miami","8","8","SEA","BAL","CAR","TEN","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","LAR","66"
"Dental Plan","8","8","GB","BAL","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","LAR","65"
"Torch","8","8","SEA","BAL","CAR","IND","ATL","TB","HOU","PIT","LAC","AZ","NO","CHI","LAR","65"
"Pauly12","8","8","SEA","BAL","CAR","TEN","ATL","NYG","HOU","PIT","DEN","AZ","PHI","CHI","LAR","64"
"Joe Cell Man","8","8","GB","BAL","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","LAR","64"
"Coachjoel57","8","8","SEA","BAL","CAR","TEN","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","LAR","60"
"Used to be BristolDr","8","8","SEA","BAL","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","PHI","CHI","LAR","50"
"Bag 'n' Shoes","8","8","GB","BAL","DET","IND","DAL","TB","WAS","PIT","LAC","OAK","NO","CHI","KC","45"
"Fein Men","8","8","SEA","BAL","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","KC","42"
"cammax716","7","7","SEA","BAL","CAR","IND","ATL","TB","HOU","PIT","LAC","AZ","NO","CHI","KC","74"
"Jaddie's Daddy","7","7","SEA","BAL","CAR","TEN","ATL","NYG","HOU","PIT","LAC","AZ","NO","MN","LAR","73"
"MSE-PA","7","7","GB","BAL","CAR","TEN","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","LAR","65"
"West Coast Best Coast","7","7","SEA","BAL","CAR","TEN","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","KC","64"
"Cold Steel","7","7","SEA","BAL","CAR","TEN","DAL","NYG","HOU","PIT","LAC","AZ","PHI","MN","LAR","64"
"Kosher Dilly Dilly","7","7","GB","BAL","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","KC","64"
"Jerry1229","7","7","SEA","BAL","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","MN","KC","62"
"coach1","7","7","SEA","BAL","CAR","TEN","DAL","TB","HOU","JAX","LAC","AZ","NO","CHI","LAR","60"
"Z-Man","7","7","SEA","CIN","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","MN","LAR","59"
"Alec B","7","7","GB","BAL","CAR","IND","ATL","NYG","HOU","PIT","LAC","OAK","PHI","MN","LAR","58"
"Jay's Gramps","7","7","SEA","CIN","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","KC","58"
"SuperBowl 52 Champs","7","7","SEA","BAL","CAR","TEN","ATL","NYG","HOU","PIT","LAC","AZ","NO","MN","LAR","58"
"Sophie's Last Choice","7","7","SEA","BAL","CAR","IND","ATL","TB","HOU","PIT","LAC","AZ","NO","CHI","KC","57"
"Cramer","7","7","SEA","BAL","CAR","IND","ATL","TB","HOU","PIT","LAC","AZ","NO","MN","LAR","54"
"They Might Be Giants!","7","7","GB","CIN","CAR","IND","DAL","NYG","HOU","JAX","LAC","AZ","NO","CHI","LAR","53"
"Keith Swet Tailor","7","7","GB","CIN","DET","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","MN","LAR","53"
"tonyppt","7","7","GB","BAL","CAR","TEN","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","LAR","52"
"howarddmd","7","7","GB","BAL","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","MN","LAR","51"
"jtyler15","7","7","SEA","BAL","CAR","TEN","ATL","TB","HOU","PIT","LAC","AZ","NO","CHI","LAR","51"
"Saquads Scores!","7","7","GB","BAL","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","KC","51"
"HayMadEm","7","7","SEA","CIN","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","KC","50"
"$man","7","7","SEA","BAL","CAR","TEN","ATL","TB","HOU","PIT","LAC","AZ","NO","CHI","LAR","47"
"Dr Blue","7","7","GB","BAL","CAR","TEN","ATL","NYG","HOU","PIT","LAC","OAK","NO","MN","LAR","47"
"GKAT28","7","7","-","BAL","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","MN","LAR","47"
"Twinkletoes","7","7","SEA","BAL","CAR","IND","ATL","TB","WAS","PIT","DEN","OAK","NO","MN","KC","42"
"West Coast Eagles Fan","7","7","GB","BAL","CAR","IND","DAL","NYG","HOU","JAX","LAC","AZ","NO","MN","LAR","42"
"Knead A Win","7","7","SEA","BAL","CAR","TEN","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","KC","42"
"Teddy","7","7","SEA","BAL","CAR","IND","ATL","NYG","WAS","PIT","LAC","AZ","NO","CHI","KC","39"
"Go Pats!!!","7","7","SEA","BAL","CAR","IND","DAL","TB","HOU","JAX","LAC","OAK","NO","MN","KC","34"
"TShelly","6","6","GB","BAL","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","MN","KC","72"
"USMC1125","6","6","SEA","CIN","CAR","IND","ATL","TB","HOU","PIT","LAC","AZ","NO","CHI","KC","72"
"Art","6","6","SEA","BAL","CAR","TEN","ATL","TB","HOU","PIT","LAC","AZ","NO","MN","LAR","71"
"madbolt","6","6","SEA","BAL","CAR","TEN","ATL","NYG","WAS","PIT","LAC","AZ","NO","CHI","KC","68"
"Wentz is Jewish","6","6","-","BAL","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","MN","KC","66"
"JustMonkeyinAround","6","6","GB","BAL","CAR","IND","ATL","TB","HOU","PIT","LAC","AZ","NO","CHI","KC","64"
"LARRY SHIVTGERALD","6","6","-","BAL","CAR","TEN","ATL","TB","HOU","PIT","LAC","OAK","PHI","CHI","LAR","64"
"POOL MEISTER","6","6","GB","CIN","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","KC","62"
"Slugger53","6","6","GB","BAL","CAR","IND","ATL","TB","HOU","JAX","LAC","AZ","NO","CHI","LAR","62"
"Davs3b","6","6","GB","BAL","CAR","TEN","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","KC","61"
"Friedman's Got Talent","6","6","GB","BAL","CAR","IND","ATL","NYG","WAS","PIT","LAC","AZ","NO","CHI","KC","60"
"j3live","6","6","GB","BAL","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","PHI","CHI","KC","60"
"BADBOYBILLY","6","6","SEA","CIN","CAR","TEN","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","KC","59"
"sdtrading","6","6","GB","BAL","CAR","IND","ATL","TB","HOU","PIT","LAC","AZ","NO","CHI","KC","59"
"king","6","6","SEA","CIN","CAR","IND","ATL","NYG","HOU","PIT","LAC","AZ","PHI","CHI","KC","59"
"GEO DOG","6","6","SEA","BAL","CAR","TEN","ATL","TB","HOU","PIT","LAC","AZ","NO","CHI","KC","56"
"Team Rovner","6","6","GB","BAL","CAR","IND","ATL","NYG","HOU","PIT","LAC","OAK","PHI","MN","KC","56"
"Boldman","6","6","SEA","BAL","CAR","TEN","ATL","NYG","HOU","PIT","LAC","AZ","PHI","CHI","KC","55"
"Lucky Laits","6","6","SEA","BAL","CAR","TEN","ATL","NYG","WAS","PIT","LAC","AZ","NO","CHI","KC","50"
"Mega Movis Men","6","6","SEA","CIN","CAR","TEN","DAL","TB","WAS","PIT","LAC","AZ","NO","CHI","LAR","50"
"Giant Blues","6","6","GB","BAL","CAR","TEN","ATL","NYG","HOU","PIT","LAC","AZ","NO","MN","LAR","49"
"Brubabe","6","6","GB","BAL","CAR","TEN","DAL","NYG","WAS","PIT","LAC","AZ","NO","CHI","KC","48"
"Dorf","6","6","GB","BAL","CAR","IND","ATL","TB","HOU","PIT","LAC","AZ","NO","MN","LAR","44"
"RichieRich$$","6","6","SEA","BAL","DET","IND","ATL","NYG","WAS","JAX","LAC","AZ","NO","MN","KC","44"
"egever","6","6","SEA","CIN","CAR","TEN","ATL","NYG","HOU","PIT","LAC","AZ","NO","CHI","KC","41"
"Maven","6","6","-","BAL","CAR","TEN","ATL","NYG","WAS","PIT","LAC","OAK","NO","MN","LAR","39"
"El Presidente","6","6","GB","BAL","CAR","TEN","ATL","NYG","HOU","PIT","LAC","AZ","NO","MN","LAR","31"
"The Real Slim Brady","6","6","GB","BAL","CAR","TEN","ATL","NYG","WAS","PIT","LAC","OAK","NO","MN","LAR","0"
"stanley steamer","5","5","GB","CIN","CAR","TEN","ATL","TB","HOU","PIT","LAC","OAK","NO","CHI","KC","84"
"Petvet","5","5","GB","BAL","CAR","TEN","ATL","NYG","WAS","PIT","LAC","AZ","NO","CHI","KC","63"
"HEADLY IV","5","5","SEA","BAL","CAR","TEN","DAL","TB","WAS","PIT","LAC","AZ","NO","MN","KC","62"
"Larry1223","5","5","GB","BAL","CAR","TEN","ATL","TB","WAS","PIT","LAC","AZ","NO","CHI","LAR","52"
"JMenacker","5","5","-","CIN","CAR","TEN","ATL","TB","HOU","PIT","LAC","AZ","NO","CHI","LAR","48"
"Mark_W","5","5","-","BAL","CAR","TEN","ATL","NYG","HOU","PIT","LAC","AZ","PHI","MN","LAR","43"
"tnrosen","5","5","GB","BAL","CAR","TEN","ATL","TB","WAS","PIT","LAC","AZ","NO","CHI","LAR","41"
"Fire Goodell","5","5","GB","CIN","DET","TEN","ATL","NYG","WAS","JAX","LAC","AZ","NO","CHI","LAR","0"
"Digital Jim","4","4","GB","BAL","CAR","TEN","DAL","TB","WAS","PIT","LAC","AZ","NO","MN","KC","54"
"Chess Doc","3","3","GB","CIN","CAR","TEN","ATL","TB","HOU","PIT","LAC","AZ","NO","MN","KC","56"
"Eggman","3","3","-","CIN","DET","TEN","ATL","TB","HOU","PIT","LAC","AZ","PHI","MN","KC","55"
"GeveandSteveandStella","3","3","GB","CIN","CAR","TEN","ATL","TB","WAS","PIT","DEN","AZ","NO","MN","KC","52"
"Jeff Rosenthal","3","3","GB","CIN","CAR","TEN","ATL","TB","HOU","PIT","LAC","AZ","PHI","CHI","KC","45"
"Jack","2","2","GB","CIN","CAR","TEN","ATL","TB","HOU","PIT","LAC","AZ","PHI","MN","KC","52"
"Bill's Mafia","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
