"","Score","Potential ScorePerfect: 15","CHI 23@DET 16","WAS 23@DAL 31","ATL 17@NO 31","SF 9@TB 27","NE 27@NYJ 13","NYG 22@PHI 25","OAK 17@BAL 34","JAX 21@BUF 24","SEA 30@CAR 27","CLE 35@CIN 20","AZ 10@LAC 45","MIA 24@IND 27","PIT 17@DEN 24","GB 17@MN 24","TEN 17@HOU 34","Tie BreakerPredictionActual: 51"
"","","click for stats:","","","","","","","","","","","","","","","","[?]"
"Larry1223","13","13","CHI","DAL","NO","TB","NE","PHI","BAL","BUF","SEA","CIN","LAC","IND","PIT","MN","HOU","50"
"RichieRich$$","13","13","DET","DAL","NO","TB","NE","PHI","BAL","BUF","SEA","CLE","LAC","IND","DEN","GB","HOU","49"
"West Coast Eagles Fan","13","13","CHI","DAL","NO","TB","NE","PHI","BAL","BUF","SEA","CIN","LAC","MIA","DEN","MN","HOU","46"
"Torch","13","13","CHI","DAL","NO","TB","NE","PHI","BAL","BUF","SEA","CIN","LAC","IND","PIT","MN","HOU","44"
"Sophie's Last Choice","12","12","CHI","DAL","NO","TB","NE","PHI","BAL","BUF","CAR","CLE","LAC","IND","PIT","GB","HOU","51"
"GEO DOG","12","12","CHI","DAL","NO","TB","NE","PHI","BAL","BUF","SEA","CIN","LAC","IND","PIT","GB","HOU","51"
"jtyler15","12","12","CHI","DAL","NO","TB","NE","PHI","BAL","BUF","SEA","CIN","LAC","IND","PIT","GB","HOU","51"
"Cold Steel","12","12","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","DEN","MN","HOU","51"
"West Coast Best Coast","12","12","CHI","DAL","NO","TB","NE","PHI","BAL","BUF","CAR","CLE","LAC","IND","PIT","MN","TEN","50"
"Saquads Scores!","12","12","CHI","DAL","NO","TB","NE","NYG","BAL","BUF","CAR","CLE","LAC","IND","PIT","MN","HOU","47"
"HayMadEm","12","12","DET","DAL","NO","TB","NE","PHI","BAL","JAX","SEA","CIN","LAC","IND","DEN","MN","HOU","45"
"Pauly12","12","12","DET","DAL","NO","TB","NE","PHI","BAL","BUF","CAR","CLE","LAC","IND","PIT","MN","HOU","43"
"JMenacker","12","12","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","SEA","CIN","LAC","IND","PIT","MN","HOU","42"
"JustMonkeyinAround","12","12","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","SEA","CLE","LAC","IND","PIT","GB","HOU","42"
"$man","12","12","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","DEN","MN","HOU","41"
"Brubabe","12","12","DET","DAL","NO","TB","NE","PHI","BAL","JAX","SEA","CLE","LAC","IND","PIT","MN","HOU","40"
"Digital Jim","12","12","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","DEN","MN","HOU","35"
"Jack","12","12","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","SEA","CLE","LAC","IND","PIT","GB","HOU","24"
"Jerry1229","11","11","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","52"
"HEADLY IV","11","11","CHI","DAL","NO","TB","NE","NYG","BAL","BUF","CAR","CIN","LAC","IND","PIT","MN","HOU","49"
"Cramer","11","11","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","48"
"tonyppt","11","11","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","48"
"Boldman","11","11","DET","DAL","NO","TB","NE","PHI","BAL","BUF","CAR","CIN","LAC","IND","PIT","MN","HOU","48"
"Jaddie's Daddy","11","11","DET","DAL","NO","TB","NE","NYG","BAL","BUF","CAR","CIN","LAC","IND","DEN","MN","HOU","47"
"tnrosen","11","11","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","DEN","GB","HOU","45"
"Davs3b","11","11","DET","DAL","NO","TB","NE","PHI","BAL","BUF","CAR","CIN","LAC","IND","PIT","MN","HOU","45"
"sdtrading","11","11","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","SEA","CIN","LAC","IND","PIT","GB","HOU","45"
"Teddy","11","11","CHI","WAS","NO","TB","NE","PHI","BAL","BUF","CAR","CIN","LAC","IND","PIT","MN","HOU","44"
"BADBOYBILLY","11","11","CHI","DAL","NO","TB","NE","PHI","BAL","BUF","CAR","CIN","LAC","IND","PIT","GB","HOU","44"
"Dental Plan","11","11","DET","DAL","NO","TB","NE","NYG","BAL","BUF","CAR","CLE","LAC","IND","PIT","MN","HOU","44"
"Fein Men","11","11","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","44"
"SuperBowl 52 Champs","11","11","CHI","DAL","NO","TB","NE","PHI","BAL","BUF","CAR","CIN","LAC","IND","PIT","MN","TEN","44"
"Perjodi","11","11","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","43"
"madbolt","11","11","DET","DAL","NO","SF","NE","PHI","BAL","JAX","CAR","CLE","LAC","IND","DEN","MN","HOU","43"
"Wentz is Jewish","11","11","CHI","DAL","NO","SF","NE","NYG","BAL","BUF","CAR","CLE","LAC","IND","PIT","MN","HOU","43"
"Knead A Win","11","11","DET","DAL","NO","TB","NE","PHI","BAL","JAX","SEA","CIN","LAC","IND","PIT","MN","HOU","42"
"Fire Goodell","11","11","DET","DAL","NO","TB","NE","NYG","BAL","BUF","CAR","CLE","LAC","IND","PIT","MN","HOU","42"
"Z-Man","11","11","DET","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","DEN","MN","HOU","42"
"Nugget2018","11","11","DET","DAL","NO","TB","NE","PHI","BAL","BUF","SEA","CIN","LAC","IND","PIT","GB","HOU","41"
"HAPPY NESS","11","11","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","41"
"howarddmd","11","11","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","41"
"Used to be BristolDr","11","11","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","41"
"Chess Doc","11","11","CHI","DAL","NO","TB","NE","PHI","BAL","BUF","SEA","CIN","LAC","IND","PIT","GB","TEN","41"
"speedy","11","11","DET","DAL","NO","TB","NE","NYG","BAL","BUF","SEA","CIN","LAC","IND","PIT","MN","HOU","40"
"Dorf","11","11","CHI","DAL","NO","SF","NE","PHI","BAL","JAX","SEA","CIN","LAC","IND","PIT","MN","HOU","40"
"coach1","11","11","CHI","DAL","NO","SF","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","DEN","MN","HOU","40"
"Jeff Rosenthal","11","11","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","39"
"Mega Movis Men","11","11","CHI","DAL","NO","TB","NE","PHI","BAL","BUF","CAR","CIN","LAC","IND","PIT","GB","HOU","31"
"Giant Blues","10","10","CHI","DAL","NO","TB","NE","NYG","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","51"
"Lucky Laits","10","10","DET","DAL","NO","SF","NE","NYG","BAL","BUF","CAR","CLE","LAC","MIA","DEN","MN","HOU","49"
"MSE-PA","10","10","CHI","DAL","NO","TB","NE","NYG","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","49"
"Petvet","10","10","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","GB","HOU","48"
"Bag 'n' Shoes","10","10","DET","DAL","NO","SF","NE","PHI","BAL","BUF","SEA","CLE","LAC","MIA","PIT","GB","HOU","48"
"Joe Cell Man","10","10","DET","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","48"
"LARRY SHIVTGERALD","10","10","CHI","DAL","NO","TB","NE","NYG","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","46"
"Coachjoel57","10","10","DET","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","45"
"j3live","10","10","CHI","DAL","NO","SF","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","44"
"GKAT28","10","10","-","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","44"
"Barry from Miami","10","10","DET","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","44"
"Kosher Dilly Dilly","10","10","CHI","DAL","NO","TB","NE","NYG","BAL","JAX","CAR","CLE","LAC","MIA","DEN","GB","HOU","43"
"They Might Be Giants!","10","10","CHI","DAL","NO","TB","NE","NYG","BAL","JAX","CAR","CLE","LAC","IND","PIT","GB","HOU","42"
"king","10","10","DET","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","42"
"cammax716","10","10","CHI","DAL","NO","SF","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","39"
"Maven","10","10","CHI","WAS","NO","SF","NE","PHI","BAL","BUF","SEA","CLE","LAC","MIA","PIT","MN","TEN","39"
"Twinkletoes","10","10","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","SEA","CIN","LAC","IND","PIT","GB","TEN","38"
"Go Pats!!!","10","10","DET","DAL","NO","TB","NE","PHI","BAL","JAX","SEA","CIN","LAC","IND","PIT","GB","HOU","37"
"POOL MEISTER","9","9","DET","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","GB","HOU","52"
"Eggman","9","9","DET","DAL","NO","TB","NE","NYG","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","50"
"Alec B","9","9","DET","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","GB","HOU","53"
"stanley steamer","9","9","CHI","DAL","NO","SF","NE","NYG","BAL","JAX","SEA","CIN","LAC","IND","PIT","GB","HOU","48"
"Slugger53","9","9","DET","DAL","NO","SF","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","54"
"TuesdayMorningQB","9","9","DET","DAL","NO","TB","NE","NYG","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","54"
"TShelly","9","9","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","AZ","IND","PIT","GB","HOU","46"
"egever","9","9","DET","DAL","NO","SF","NE","PHI","BAL","BUF","CAR","CIN","LAC","IND","PIT","GB","HOU","45"
"Team Rovner","9","9","DET","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","GB","HOU","44"
"Mark_W","9","9","CHI","DAL","NO","TB","NE","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","GB","TEN","43"
"Pioneers85","9","9","DET","WAS","NO","SF","NE","NYG","BAL","BUF","CAR","CLE","LAC","IND","PIT","MN","HOU","39"
"The Real Slim Brady","9","9","CHI","WAS","NO","SF","NE","PHI","BAL","JAX","SEA","CIN","LAC","MIA","PIT","MN","HOU","0"
"Dr Blue","8","8","DET","DAL","NO","SF","NE","NYG","OAK","JAX","CAR","CLE","LAC","IND","DEN","GB","HOU","51"
"Sparky","8","8","DET","DAL","NO","SF","NE","NYG","BAL","JAX","CAR","CIN","LAC","IND","PIT","MN","HOU","50"
"USMC1125","8","8","DET","DAL","NO","TB","NYJ","PHI","BAL","JAX","CAR","CIN","LAC","IND","PIT","GB","HOU","48"
"Keith Swet Tailor","8","8","DET","DAL","NO","TB","NE","PHI","OAK","JAX","CAR","CIN","LAC","IND","PIT","GB","HOU","43"
"Friedman's Got Talent","8","8","CHI","WAS","NO","TB","NE","NYG","BAL","JAX","CAR","CIN","LAC","IND","PIT","GB","HOU","42"
"Jay's Gramps","8","8","CHI","DAL","NO","SF","NE","NYG","BAL","JAX","CAR","CIN","LAC","IND","PIT","GB","HOU","42"
"StamfordPhil","8","8","CHI","DAL","NO","SF","NE","NYG","BAL","JAX","CAR","CIN","LAC","IND","PIT","GB","HOU","41"
"GeveandSteveandStella","8","8","DET","WAS","NO","TB","NE","PHI","BAL","BUF","SEA","CIN","AZ","MIA","PIT","GB","HOU","34"
"El Presidente","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"Art","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"Bill's Mafia","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
