"","Score","Potential ScorePerfect: 16","NO 10@DAL 13","CHI 27@NYG 30","BUF 17@MIA 21","DEN 24@CIN 10","LAR 30@DET 16","BAL 26@ATL 16","IND 0@JAX 6","CLE 13@HOU 29","AZ 20@GB 17","CAR 17@TB 24","KC 40@OAK 33","NYJ 22@TEN 26","MN 10@NE 24","SF 16@SEA 43","LAC 33@PIT 30","WAS 13@PHI 28","Tie BreakerPredictionActual: 41"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"tnrosen","13","13","NO","CHI","MIA","DEN","LAR","BAL","JAX","HOU","GB","TB","KC","TEN","NE","SEA","LAC","PHI","35"
"TShelly","12","12","NO","CHI","MIA","DEN","LAR","BAL","IND","HOU","GB","TB","KC","TEN","NE","SEA","LAC","PHI","46"
"Petvet","11","11","NO","CHI","MIA","DEN","LAR","BAL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","LAC","PHI","42"
"$man","11","11","NO","CHI","MIA","DEN","LAR","BAL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","LAC","PHI","42"
"Art","11","11","NO","CHI","MIA","DEN","LAR","BAL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","LAC","PHI","39"
"Nugget2018","11","11","NO","NYG","MIA","DEN","LAR","ATL","JAX","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","44"
"Cramer","11","11","NO","CHI","MIA","DEN","LAR","ATL","JAX","HOU","GB","TB","KC","TEN","NE","SEA","PIT","PHI","45"
"Digital Jim","11","11","NO","CHI","MIA","DEN","LAR","BAL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","LAC","PHI","45"
"speedy","11","11","NO","NYG","MIA","DEN","LAR","BAL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","LAC","WAS","47"
"West Coast Eagles Fan","11","11","DAL","CHI","BUF","DEN","LAR","ATL","JAX","HOU","GB","TB","KC","TEN","NE","SEA","LAC","WAS","50"
"Pioneers85","10","10","NO","NYG","MIA","DEN","LAR","ATL","JAX","HOU","GB","TB","KC","NYJ","MN","SEA","PIT","PHI","41"
