"","Score","Potential ScorePerfect: 16","JAX 9@TEN 30","NYJ 27@BUF 23","NYG 40@WAS 16","NO 28@TB 14","NE 33@MIA 34","BAL 24@KC 27","IND 24@HOU 21","CAR 20@CLE 26","ATL 20@GB 34","DEN 14@SF 20","CIN 21@LAC 26","PHI 23@DAL 29","DET 17@AZ 3","PIT 21@OAK 24","LAR 6@CHI 15","MN 7@SEA 21","Tie BreakerPredictionActual: 28"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"egever","12","12","TEN","BUF","NYG","NO","NE","KC","IND","CLE","GB","SF","LAC","PHI","DET","PIT","CHI","SEA","41"
"Pioneers85","11","11","TEN","NYJ","NYG","NO","MIA","KC","HOU","CLE","GB","DEN","LAC","PHI","AZ","PIT","CHI","SEA","43"
"Kosher Dilly Dilly","11","11","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","DET","PIT","CHI","SEA","43"
"Barry from Miami","11","11","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","DET","PIT","CHI","SEA","44"
"Boldman","11","11","TEN","NYJ","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","DET","PIT","LAR","SEA","48"
"Fire Goodell","11","11","TEN","NYJ","NYG","NO","NE","KC","HOU","CLE","GB","SF","LAC","DAL","DET","PIT","LAR","MN","49"
"GeveandSteveandStella","10","10","TEN","BUF","WAS","NO","NE","KC","IND","CAR","GB","SF","CIN","DAL","DET","OAK","CHI","MN","35"
"Brubabe","10","10","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","DAL","DET","PIT","CHI","SEA","40"
"Sparky","10","10","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","DET","PIT","LAR","SEA","42"
"SuperBowl 52 Champs","10","10","TEN","NYJ","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","PHI","DET","PIT","LAR","SEA","44"
"Chess Doc","10","10","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","DET","PIT","LAR","SEA","44"
"Saquads Scores!","10","10","TEN","BUF","NYG","NO","NE","KC","IND","CLE","GB","DEN","LAC","PHI","DET","PIT","LAR","SEA","44"
"Maven","10","10","TEN","BUF","NYG","NO","MIA","KC","IND","CLE","ATL","DEN","LAC","PHI","DET","PIT","LAR","SEA","45"
"LARRY SHIVTGERALD","10","10","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","DET","PIT","CHI","MN","46"
"Pauly12","10","10","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","DET","PIT","LAR","SEA","46"
"$man","10","10","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","DET","PIT","LAR","SEA","47"
"Giant Blues","10","10","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","AZ","PIT","CHI","SEA","47"
"Used to be BristolDr","10","10","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","PHI","DET","PIT","CHI","SEA","48"
"Teddy","10","10","TEN","BUF","WAS","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","DET","PIT","CHI","SEA","53"
"Dental Plan","9","9","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","AZ","PIT","LAR","SEA","34"
"king","9","9","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","PHI","DET","PIT","CHI","SEA","41"
"Petvet","9","9","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","DAL","DET","PIT","LAR","SEA","41"
"Knead A Win","9","9","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","AZ","PIT","LAR","SEA","42"
"USMC1125","9","9","TEN","BUF","NYG","NO","NE","BAL","HOU","CAR","GB","DEN","LAC","DAL","DET","PIT","CHI","SEA","42"
"Larry1223","9","9","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","DAL","DET","PIT","LAR","SEA","44"
"Wentz is Jewish","9","9","TEN","BUF","NYG","NO","NE","BAL","HOU","CAR","GB","SF","LAC","DAL","DET","PIT","LAR","SEA","44"
"StamfordPhil","9","9","JAX","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","DAL","DET","PIT","LAR","SEA","44"
"Perjodi","9","9","TEN","BUF","NYG","NO","NE","KC","HOU","CLE","GB","DEN","LAC","PHI","DET","PIT","LAR","SEA","46"
"Lucky Laits","9","9","TEN","NYJ","NYG","NO","NE","KC","HOU","CAR","ATL","DEN","LAC","PHI","DET","PIT","CHI","SEA","46"
"Fein Men","9","9","TEN","BUF","NYG","NO","NE","KC","HOU","CAR","GB","DEN","LAC","DAL","DET","PIT","LAR","SEA","46"
"Twinkletoes","9","9","JAX","BUF","NYG","NO","NE","KC","IND","CLE","ATL","DEN","LAC","DAL","DET","PIT","LAR","SEA","46"
