"","Score","Potential ScorePerfect: 16","LAC 29@KC 28","HOU 29@NYJ 22","CLE 17@DEN 16","GB 17@CHI 24","DET 13@BUF 14","TB 12@BAL 20","AZ 14@ATL 40","OAK 16@CIN 30","TEN 17@NYG 0","MIA 17@MN 41","WAS 16@JAX 13","DAL 0@IND 23","SEA 23@SF 26","NE 10@PIT 17","PHI 30@LAR 23","NO 12@CAR 9","Tie BreakerPredictionActual: 21"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"GEO DOG","12","12","LAC","HOU","CLE","CHI","DET","BAL","ATL","CIN","TEN","MN","JAX","IND","SEA","PIT","LAR","NO","49"
"sdtrading","12","12","LAC","HOU","CLE","CHI","BUF","BAL","ATL","CIN","TEN","MN","JAX","IND","SEA","NE","LAR","NO","52"
"BADBOYBILLY","12","12","KC","HOU","CLE","CHI","BUF","BAL","ATL","CIN","TEN","MIA","JAX","IND","SEA","PIT","PHI","NO","53"
"Jack","12","12","LAC","HOU","CLE","GB","BUF","BAL","ATL","CIN","TEN","MN","JAX","IND","SEA","PIT","PHI","CAR","54"
"Barry from Miami","11","11","KC","HOU","DEN","CHI","BUF","BAL","ATL","CIN","TEN","MN","JAX","IND","SEA","PIT","LAR","NO","44"
"Maven","11","11","-","-","-","CHI","DET","BAL","ATL","CIN","TEN","MN","WAS","IND","SEA","PIT","PHI","NO","45"
"Jaddie's Daddy","11","11","KC","HOU","DEN","CHI","BUF","BAL","ATL","CIN","TEN","MN","WAS","IND","SEA","NE","LAR","NO","49"
"Jerry1229","11","11","KC","HOU","CLE","CHI","BUF","BAL","ATL","CIN","TEN","MN","WAS","DAL","SEA","NE","LAR","NO","52"
"tonyppt","11","11","LAC","HOU","DEN","CHI","BUF","BAL","ATL","CIN","TEN","MN","JAX","IND","SEA","NE","LAR","NO","52"
"HEADLY IV","11","11","KC","HOU","CLE","CHI","BUF","BAL","ATL","CIN","NYG","MN","JAX","IND","SEA","PIT","LAR","NO","56"
"egever","10","10","KC","HOU","DEN","CHI","DET","BAL","ATL","CIN","TEN","MN","JAX","IND","SF","NE","LAR","NO","41"
"Kosher Dilly Dilly","10","10","KC","HOU","CLE","CHI","DET","BAL","ATL","CIN","NYG","MN","WAS","DAL","SEA","PIT","LAR","NO","43"
"Team Rovner","10","10","KC","HOU","CLE","CHI","DET","BAL","ATL","OAK","TEN","MN","JAX","IND","SEA","NE","PHI","NO","44"
"Brubabe","10","10","KC","HOU","CLE","CHI","BUF","BAL","ATL","CIN","TEN","MN","JAX","DAL","SEA","NE","LAR","NO","45"
"Go Pats!!!","10","10","KC","HOU","CLE","CHI","DET","BAL","ATL","CIN","TEN","MN","JAX","IND","SEA","NE","LAR","NO","46"
"king","10","10","KC","HOU","DEN","CHI","DET","BAL","ATL","CIN","TEN","MN","JAX","IND","SEA","PIT","LAR","NO","47"
"Dorf","10","10","LAC","HOU","CLE","CHI","BUF","BAL","ATL","OAK","TEN","MIA","WAS","DAL","SEA","NE","LAR","NO","48"
"Teddy","10","10","KC","HOU","DEN","CHI","BUF","BAL","ATL","CIN","TEN","MN","JAX","DAL","SEA","PIT","LAR","NO","48"
"Cramer","10","10","KC","HOU","DEN","CHI","BUF","BAL","ATL","CIN","NYG","MN","JAX","IND","SEA","PIT","LAR","NO","50"
"Lucky Laits","10","10","LAC","HOU","DEN","CHI","DET","BAL","ATL","CIN","NYG","MN","JAX","IND","SF","NE","LAR","NO","50"
"POOL MEISTER","10","10","KC","HOU","CLE","GB","BUF","BAL","ATL","OAK","TEN","MN","JAX","IND","SEA","PIT","LAR","NO","51"
"jtyler15","10","10","KC","HOU","CLE","CHI","DET","TB","ATL","CIN","TEN","MN","WAS","IND","SEA","NE","LAR","NO","51"
"Jay's Gramps","10","10","LAC","HOU","CLE","CHI","DET","BAL","ATL","CIN","NYG","MN","JAX","DAL","SEA","PIT","LAR","NO","51"
"Friedman's Got Talent","10","10","KC","HOU","CLE","CHI","BUF","BAL","ATL","CIN","NYG","MN","JAX","IND","SEA","NE","LAR","NO","51"
"speedy","10","10","KC","HOU","CLE","CHI","BUF","BAL","ATL","CIN","NYG","MN","WAS","IND","SEA","NE","LAR","CAR","52"
"cammax716","10","10","KC","HOU","DEN","CHI","BUF","BAL","ATL","OAK","TEN","MN","JAX","IND","SEA","PIT","LAR","NO","53"
"JMenacker","10","10","KC","HOU","DEN","CHI","BUF","BAL","ATL","CIN","TEN","MN","JAX","IND","SEA","NE","LAR","NO","54"
"Art","10","10","LAC","HOU","CLE","CHI","DET","BAL","ATL","OAK","TEN","MN","JAX","IND","SEA","NE","LAR","NO","54"
"LARRY SHIVTGERALD","10","10","LAC","HOU","DEN","CHI","BUF","BAL","ATL","CIN","NYG","MN","JAX","IND","SEA","NE","LAR","NO","54"
