"","Score","Potential ScorePerfect: 16","WAS 16@TEN 25","BAL 22@LAC 10","NYG 27@IND 28","HOU 30@PHI 32","JAX 17@MIA 7","GB 44@NYJ 38","CIN 18@CLE 26","TB 20@DAL 27","MN 27@DET 9","BUF 12@NE 24","ATL 24@CAR 10","CHI 14@SF 9","LAR 31@AZ 9","PIT 28@NO 31","KC 31@SEA 38","DEN 14@OAK 27","Tie BreakerPredictionActual: 41"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"cammax716","15","15","TEN","LAC","IND","PHI","JAX","GB","CLE","DAL","MN","NE","ATL","CHI","LAR","NO","SEA","OAK","36"
"HayMadEm","14","14","TEN","BAL","IND","PHI","MIA","NYJ","CLE","DAL","MN","NE","ATL","CHI","LAR","NO","SEA","OAK","42"
"Nugget2018","14","14","TEN","LAC","IND","PHI","MIA","GB","CLE","DAL","MN","NE","ATL","CHI","LAR","NO","SEA","OAK","44"
"Barry from Miami","14","14","TEN","BAL","IND","PHI","MIA","GB","CLE","DAL","MN","NE","CAR","CHI","LAR","NO","SEA","OAK","44"
"speedy","14","14","TEN","LAC","IND","PHI","MIA","GB","CLE","DAL","MN","NE","ATL","CHI","LAR","NO","SEA","OAK","52"
"Twinkletoes","13","13","TEN","BAL","IND","PHI","MIA","GB","CLE","DAL","MN","NE","ATL","CHI","LAR","NO","KC","DEN","40"
"Sophie's Last Choice","13","13","TEN","BAL","IND","PHI","MIA","GB","CLE","DAL","MN","NE","ATL","CHI","LAR","NO","KC","DEN","43"
"Saquads Scores!","13","13","TEN","LAC","IND","PHI","MIA","GB","CLE","DAL","MN","NE","CAR","CHI","LAR","NO","SEA","OAK","39"
"Z-Man","13","13","TEN","LAC","IND","PHI","MIA","GB","CLE","DAL","MN","NE","ATL","CHI","LAR","NO","SEA","DEN","43"
"Coachjoel57","13","13","TEN","LAC","IND","PHI","MIA","GB","CLE","DAL","MN","NE","ATL","CHI","LAR","PIT","SEA","OAK","38"
"HAPPY NESS","13","13","TEN","LAC","IND","PHI","MIA","GB","CLE","DAL","MN","NE","CAR","CHI","LAR","NO","SEA","OAK","45"
"Joe Cell Man","13","13","TEN","LAC","IND","PHI","MIA","GB","CLE","DAL","MN","NE","ATL","CHI","LAR","NO","KC","OAK","45"
