"","Score","Potential ScorePerfect: 16","MIA 17@BUF 42","DET 31@GB 0","JAX 3@HOU 20","NYJ 3@NE 38","CAR 33@NO 14","DAL 36@NYG 35","ATL 34@TB 32","CLE 24@BAL 26","PHI 24@WAS 0","OAK 3@KC 35","CHI 24@MN 10","CIN 13@PIT 16","LAC 23@DEN 9","SF 32@LAR 48","AZ 24@SEA 27","IND 33@TEN 17","Tie BreakerPredictionActual: 50"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"GEO DOG","14","14","BUF","GB","HOU","NE","NO","DAL","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","49"
"Bag 'n' Shoes","14","14","BUF","GB","HOU","NE","NO","DAL","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","49"
"Jerry1229","14","14","BUF","GB","HOU","NE","NO","DAL","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","51"
"West Coast Best Coast","14","14","MIA","DET","HOU","NE","NO","DAL","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","48"
"JMenacker","14","14","BUF","GB","HOU","NE","NO","DAL","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","45"
"cammax716","14","14","BUF","GB","HOU","NE","CAR","NYG","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","44"
"Sophie's Last Choice","14","14","BUF","GB","HOU","NE","NO","DAL","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","41"
"West Coast Eagles Fan","13","13","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","50"
"Lucky Laits","13","13","BUF","GB","HOU","NE","NO","DAL","ATL","BAL","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","48"
"MSE-PA","13","13","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","52"
"Dorf","13","13","BUF","GB","HOU","NE","NO","DAL","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","AZ","IND","48"
"coach1","13","13","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","48"
"Jay's Gramps","13","13","BUF","DET","HOU","NE","NO","DAL","TB","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","TEN","47"
"Twinkletoes","13","13","MIA","GB","HOU","NE","NO","DAL","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","46"
"BADBOYBILLY","13","13","MIA","GB","HOU","NE","NO","DAL","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","46"
"Joe Cell Man","13","13","BUF","GB","HOU","NE","CAR","NYG","TB","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","46"
"Pauly12","13","13","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","45"
"SuperBowl 52 Champs","13","13","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","44"
"Larry1223","13","13","BUF","GB","HOU","NE","NO","DAL","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","TEN","44"
"Jack","13","13","MIA","GB","HOU","NE","NO","DAL","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","44"
"Chess Doc","13","13","BUF","GB","HOU","NE","NO","DAL","ATL","BAL","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","44"
"speedy","13","13","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","42"
"tnrosen","13","13","MIA","GB","HOU","NE","NO","DAL","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","42"
"king","13","13","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","42"
"Friedman's Got Talent","13","13","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","42"
"USMC1125","13","13","BUF","GB","HOU","NE","NO","DAL","ATL","BAL","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","42"
"howarddmd","13","13","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","41"
"jtyler15","13","13","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","41"
"Used to be BristolDr","13","13","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","41"
