"","Score","Potential ScorePerfect: 16","BAL 23@CIN 34","CAR 24@ATL 31","IND 21@WAS 9","HOU 17@TEN 20","PHI 21@TB 27","KC 42@PIT 37","MIA 20@NYJ 12","LAC 31@BUF 20","MN 29@GB 29","CLE 18@NO 21","DET 27@SF 30","AZ 0@LAR 34","NE 20@JAX 31","OAK 19@DEN 20","NYG 13@DAL 20","SEA 17@CHI 24","Tie BreakerPredictionActual: 41"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"Cold Steel","13","13","CIN","ATL","WAS","TEN","PHI","PIT","MIA","LAC","GB","NO","SF","LAR","JAX","DEN","DAL","CHI","44"
"HEADLY IV","12","12","CIN","ATL","WAS","HOU","TB","KC","NYJ","LAC","MN","NO","SF","LAR","JAX","DEN","NYG","CHI","43"
"Torch","12","12","BAL","ATL","IND","TEN","PHI","PIT","NYJ","LAC","GB","NO","SF","LAR","JAX","DEN","DAL","CHI","44"
"HAPPY NESS","12","12","BAL","ATL","WAS","TEN","PHI","PIT","MIA","LAC","GB","NO","SF","LAR","JAX","DEN","DAL","CHI","44"
"sdtrading","12","12","CIN","ATL","WAS","TEN","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","JAX","DEN","DAL","CHI","45"
"Mega Movis Men","12","12","CIN","ATL","IND","TEN","PHI","PIT","MIA","LAC","GB","NO","SF","LAR","NE","DEN","DAL","SEA","52"
"speedy","11","11","CIN","CAR","WAS","TEN","TB","PIT","NYJ","LAC","GB","NO","SF","LAR","JAX","DEN","NYG","CHI","42"
"West Coast Best Coast","11","11","BAL","CAR","WAS","TEN","TB","KC","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","DAL","CHI","40"
"tonyppt","11","11","CIN","ATL","WAS","HOU","PHI","PIT","MIA","LAC","MN","NO","SF","LAR","NE","DEN","DAL","CHI","42"
"POOL MEISTER","11","11","BAL","ATL","WAS","HOU","PHI","PIT","MIA","LAC","MN","NO","SF","LAR","JAX","DEN","DAL","CHI","43"
"Barry from Miami","11","11","CIN","ATL","WAS","HOU","PHI","PIT","MIA","LAC","MN","NO","SF","LAR","NE","DEN","DAL","CHI","43"
"$man","11","11","CIN","ATL","WAS","HOU","TB","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","DAL","CHI","43"
"Perjodi","11","11","BAL","ATL","WAS","HOU","PHI","KC","NYJ","LAC","MN","NO","SF","LAR","JAX","DEN","DAL","CHI","44"
"Dental Plan","11","11","BAL","ATL","WAS","HOU","PHI","KC","NYJ","LAC","MN","NO","SF","LAR","JAX","DEN","DAL","CHI","34"
"Jaddie's Daddy","11","11","BAL","ATL","WAS","HOU","TB","KC","NYJ","LAC","MN","NO","SF","LAR","JAX","DEN","DAL","SEA","33"
"Eggman","10","10","BAL","ATL","WAS","TEN","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","JAX","OAK","DAL","CHI","41"
"Dr Blue","10","10","BAL","ATL","WAS","TEN","TB","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","NYG","CHI","41"
"Davs3b","10","10","BAL","ATL","WAS","TEN","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","JAX","DEN","NYG","CHI","41"
"Twinkletoes","10","10","CIN","ATL","WAS","TEN","PHI","PIT","NYJ","LAC","GB","NO","SF","LAR","NE","DEN","DAL","SEA","40"
"Knead A Win","10","10","CIN","ATL","WAS","TEN","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","NYG","CHI","42"
"Friedman's Got Talent","10","10","CIN","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","DAL","CHI","42"
"Used to be BristolDr","10","10","CIN","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","GB","NO","SF","LAR","JAX","DEN","DAL","SEA","42"
"Sparky","10","10","CIN","ATL","WAS","HOU","PHI","KC","NYJ","LAC","GB","NO","SF","LAR","NE","DEN","NYG","CHI","42"
"Petvet","10","10","CIN","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","JAX","DEN","NYG","CHI","43"
"king","10","10","BAL","ATL","WAS","HOU","PHI","PIT","MIA","LAC","MN","NO","SF","LAR","JAX","DEN","NYG","CHI","44"
"Brubabe","10","10","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","JAX","DEN","DAL","CHI","38"
"Team Rovner","10","10","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","JAX","DEN","DAL","CHI","44"
"RichieRich$$","10","10","BAL","ATL","WAS","HOU","PHI","KC","NYJ","LAC","MN","NO","SF","LAR","JAX","DEN","NYG","CHI","44"
"West Coast Eagles Fan","10","10","CIN","ATL","IND","HOU","PHI","PIT","NYJ","LAC","GB","NO","SF","LAR","NE","DEN","NYG","CHI","45"
"Larry1223","10","10","BAL","ATL","WAS","TEN","PHI","KC","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","NYG","CHI","45"
"Keith Swet Tailor","10","10","CIN","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","JAX","DEN","NYG","CHI","45"
"Dorf","10","10","BAL","ATL","WAS","TEN","PHI","PIT","NYJ","LAC","GB","NO","SF","LAR","NE","DEN","DAL","CHI","36"
"Digital Jim","10","10","BAL","ATL","WAS","HOU","PHI","KC","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","DAL","CHI","36"
"Jeff Rosenthal","10","10","BAL","ATL","WAS","HOU","PHI","KC","MIA","LAC","MN","NO","SF","LAR","NE","DEN","DAL","SEA","47"
"HayMadEm","10","10","BAL","ATL","WAS","HOU","PHI","PIT","MIA","LAC","MN","NO","SF","LAR","NE","DEN","DAL","CHI","35"
"El Presidente","10","10","BAL","CAR","WAS","HOU","TB","PIT","NYJ","LAC","MN","NO","SF","LAR","JAX","DEN","DAL","CHI","34"
"Fein Men","10","10","CIN","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","JAX","DEN","NYG","CHI","48"
"JustMonkeyinAround","10","10","BAL","CAR","IND","TEN","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","JAX","DEN","NYG","CHI","30"
"Slugger53","10","10","CIN","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","GB","NO","SF","LAR","JAX","DEN","NYG","CHI","52"
"GEO DOG","10","10","CIN","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","GB","NO","SF","LAR","JAX","DEN","NYG","CHI","58"
"howarddmd","9","9","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","DAL","CHI","41"
"Fire Goodell","9","9","CIN","CAR","WAS","HOU","PHI","PIT","MIA","LAC","MN","NO","SF","LAR","NE","DEN","NYG","CHI","42"
"Coachjoel57","9","9","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","DAL","CHI","42"
"Art","9","9","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","DAL","CHI","40"
