"","Score","Potential ScorePerfect: 16","NYJ 17@CLE 21","NO 43@ATL 37","GB 17@WAS 31","IND 16@PHI 20","BUF 27@MN 6","OAK 20@MIA 28","DEN 14@BAL 27","CIN 21@CAR 31","NYG 27@HOU 22","TEN 9@JAX 6","SF 27@KC 38","LAC 23@LAR 35","DAL 13@SEA 24","CHI 16@AZ 14","NE 10@DET 26","PIT 30@TB 27","Tie BreakerPredictionActual: 57"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"Boldman","11","11","CLE","NO","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","55"
"tonyppt","11","11","NYJ","NO","WAS","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","52"
"West Coast Eagles Fan","11","11","CLE","NO","GB","PHI","MN","MIA","DEN","CAR","NYG","JAX","KC","LAR","SEA","CHI","NE","PIT","38"
"MSE-PA","10","10","CLE","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","56"
"Cramer","10","10","CLE","ATL","WAS","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","AZ","DET","TB","54"
"Pauly12","10","10","CLE","NO","WAS","PHI","MN","MIA","DEN","CIN","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","54"
"stanley steamer","10","10","NYJ","ATL","WAS","PHI","MN","MIA","DEN","CAR","HOU","TEN","KC","LAR","SEA","CHI","NE","PIT","52"
"Friedman's Got Talent","10","10","CLE","NO","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","52"
"Fein Men","10","10","CLE","NO","GB","PHI","MN","MIA","BAL","CIN","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","51"
"Davs3b","10","10","CLE","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","DET","TB","51"
"Nugget2018","10","10","CLE","ATL","WAS","PHI","MN","OAK","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","50"
"HAPPY NESS","10","10","CLE","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","50"
"king","10","10","CLE","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","49"
"USMC1125","10","10","CLE","NO","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","DAL","CHI","NE","PIT","48"
"Art","10","10","CLE","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","45"
"JMenacker","10","10","CLE","NO","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","45"
"Lucky Laits","10","10","CLE","ATL","GB","PHI","MN","MIA","BAL","CAR","NYG","JAX","KC","LAR","SEA","CHI","NE","TB","43"
"POOL MEISTER","9","9","CLE","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","54"
"cammax716","9","9","CLE","ATL","GB","PHI","MN","MIA","DEN","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","60"
"Cold Steel","9","9","CLE","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","DAL","CHI","NE","PIT","54"
"Barry from Miami","9","9","CLE","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","53"
"RichieRich$$","9","9","CLE","ATL","WAS","PHI","MN","MIA","BAL","CIN","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","53"
"Sophie's Last Choice","9","9","CLE","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","51"
"Pioneers85","9","9","NYJ","ATL","GB","PHI","MN","MIA","DEN","CAR","NYG","JAX","KC","LAR","SEA","CHI","NE","PIT","51"
"TShelly","9","9","NYJ","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","51"
"Perjodi","9","9","CLE","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","50"
"BADBOYBILLY","9","9","CLE","ATL","GB","PHI","MN","MIA","BAL","CIN","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","49"
"Keith Swet Tailor","9","9","CLE","ATL","GB","PHI","MN","OAK","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","49"
"TuesdayMorningQB","9","9","CLE","ATL","WAS","PHI","MN","OAK","BAL","CAR","NYG","JAX","KC","LAR","DAL","CHI","NE","TB","49"
"Larry1223","9","9","NYJ","ATL","WAS","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","48"
"jtyler15","9","9","CLE","NO","GB","PHI","MN","OAK","DEN","CAR","NYG","JAX","KC","LAR","SEA","CHI","NE","TB","47"
"SuperBowl 52 Champs","9","9","CLE","ATL","GB","PHI","MN","MIA","DEN","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","44"
"GEO DOG","9","9","CLE","ATL","GB","PHI","MN","MIA","BAL","CIN","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","44"
"GKAT28","9","9","CLE","ATL","GB","PHI","MN","OAK","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","44"
"Team Rovner","9","9","CLE","ATL","GB","PHI","MN","MIA","DEN","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","44"
"Kosher Dilly Dilly","9","9","CLE","ATL","GB","PHI","MN","OAK","BAL","CIN","NYG","JAX","KC","LAR","SEA","CHI","NE","PIT","43"
"j3live","9","9","CLE","ATL","WAS","PHI","MN","OAK","BAL","CIN","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","42"
"Giant Blues","9","9","CLE","ATL","GB","PHI","MN","MIA","BAL","CAR","NYG","JAX","KC","LAR","DAL","CHI","NE","TB","42"
"Chess Doc","9","9","NYJ","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","42"
"Twinkletoes","9","9","NYJ","NO","GB","PHI","MN","OAK","DEN","CAR","NYG","JAX","KC","LAR","SEA","CHI","NE","PIT","40"
"coach1","9","9","CLE","ATL","WAS","PHI","MN","MIA","DEN","CIN","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","40"
"Dorf","9","9","NYJ","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","36"
"Brubabe","9","9","CLE","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","35"
"Teddy","9","9","CLE","NO","GB","PHI","MN","MIA","DEN","CAR","NYG","JAX","KC","LAR","SEA","AZ","NE","TB","34"
"egever","9","9","NYJ","ATL","GB","PHI","MN","MIA","DEN","CAR","NYG","JAX","KC","LAR","SEA","CHI","NE","PIT","7"
"Jeff Rosenthal","8","8","NYJ","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","57"
"sdtrading","8","8","CLE","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","DAL","CHI","NE","TB","58"
"Slugger53","8","8","CLE","ATL","GB","PHI","MN","MIA","BAL","CIN","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","56"
"Maven","8","8","-","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","DAL","CHI","NE","PIT","53"
"Coachjoel57","8","8","CLE","ATL","GB","PHI","MN","OAK","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","52"
"Wentz is Jewish","8","8","NYJ","ATL","GB","PHI","MN","OAK","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","62"
"Saquads Scores!","8","8","CLE","ATL","GB","PHI","MN","OAK","BAL","CAR","HOU","JAX","KC","LAR","DAL","CHI","NE","PIT","51"
"Torch","8","8","CLE","ATL","GB","PHI","MN","OAK","BAL","CIN","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","50"
"Eggman","8","8","-","ATL","WAS","PHI","MN","MIA","BAL","CIN","HOU","JAX","KC","LAR","DAL","CHI","DET","TB","49"
"Sparky","8","8","NYJ","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","48"
"HEADLY IV","8","8","CLE","ATL","GB","IND","MN","MIA","DEN","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","48"
"Used to be BristolDr","8","8","CLE","ATL","WAS","PHI","MN","OAK","BAL","CIN","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","48"
"Petvet","8","8","NYJ","ATL","GB","PHI","MN","MIA","DEN","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","47"
"madbolt","8","8","NYJ","NO","GB","PHI","MN","OAK","DEN","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","47"
"tnrosen","8","8","CLE","ATL","GB","PHI","MN","MIA","DEN","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","46"
"Dental Plan","8","8","CLE","NO","GB","PHI","MN","MIA","BAL","CIN","HOU","JAX","KC","LAR","DAL","CHI","NE","TB","45"
"El Presidente","8","8","-","ATL","GB","PHI","MN","MIA","BAL","CIN","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","43"
"Mark_W","8","8","-","ATL","WAS","PHI","MN","OAK","BAL","CAR","HOU","JAX","KC","LAC","SEA","CHI","NE","PIT","43"
"Knead A Win","8","8","NYJ","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","42"
"Fire Goodell","8","8","CLE","ATL","GB","PHI","MN","MIA","DEN","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","42"
"speedy","8","8","CLE","ATL","GB","IND","MN","MIA","BAL","CIN","NYG","JAX","KC","LAR","SEA","CHI","NE","TB","42"
"$man","7","7","CLE","ATL","GB","PHI","MN","MIA","BAL","CIN","HOU","JAX","KC","LAR","DAL","CHI","NE","TB","57"
"LARRY SHIVTGERALD","7","7","-","NO","GB","PHI","MN","MIA","DEN","CIN","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","56"
"West Coast Best Coast","7","7","CLE","ATL","GB","PHI","MN","MIA","DEN","CIN","HOU","JAX","KC","LAR","SEA","CHI","NE","TB","60"
"StamfordPhil","7","7","NYJ","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","DAL","CHI","NE","TB","52"
"Mega Movis Men","7","7","CLE","ATL","GB","PHI","MN","MIA","DEN","CAR","HOU","JAX","KC","LAR","DAL","CHI","NE","TB","52"
"Joe Cell Man","7","7","CLE","ATL","GB","PHI","MN","OAK","BAL","CAR","HOU","JAX","KC","LAR","DAL","AZ","NE","PIT","52"
"Jaddie's Daddy","7","7","CLE","ATL","GB","PHI","MN","OAK","BAL","CAR","HOU","JAX","KC","LAR","SEA","AZ","NE","TB","63"
"Jerry1229","7","7","CLE","ATL","GB","PHI","MN","MIA","DEN","CAR","HOU","JAX","KC","LAR","DAL","CHI","NE","TB","50"
"Alec B","7","7","NYJ","NO","GB","PHI","MN","OAK","DEN","CAR","HOU","JAX","KC","LAR","DAL","CHI","NE","PIT","50"
"Jay's Gramps","7","7","CLE","ATL","GB","PHI","MN","MIA","DEN","CIN","HOU","JAX","KC","LAR","DAL","CHI","NE","PIT","47"
"Jack","7","7","NYJ","ATL","GB","PHI","MN","OAK","DEN","CAR","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","44"
"GeveandSteveandStella","7","7","NYJ","ATL","GB","PHI","MN","MIA","DEN","CAR","HOU","JAX","KC","LAC","SEA","CHI","NE","PIT","43"
"howarddmd","7","7","CLE","ATL","GB","PHI","MN","MIA","BAL","CIN","HOU","JAX","KC","LAR","DAL","CHI","NE","TB","41"
"Z-Man","6","6","NYJ","ATL","GB","PHI","MN","MIA","DEN","CAR","HOU","JAX","KC","LAR","DAL","CHI","NE","TB","51"
"They Might Be Giants!","6","6","NYJ","NO","GB","PHI","MN","OAK","BAL","CIN","HOU","JAX","KC","LAR","DAL","CHI","NE","TB","49"
"Dr Blue","6","6","CLE","ATL","GB","PHI","MN","OAK","DEN","CIN","NYG","JAX","KC","LAR","DAL","CHI","NE","TB","39"
"Digital Jim","6","6","NYJ","ATL","GB","PHI","MN","MIA","BAL","CAR","HOU","JAX","KC","LAR","DAL","AZ","NE","TB","35"
"HayMadEm","6","6","NYJ","ATL","GB","PHI","MN","OAK","DEN","CIN","HOU","JAX","KC","LAR","SEA","CHI","NE","PIT","35"
"Go Pats!!!","5","5","NYJ","ATL","GB","PHI","MN","OAK","DEN","CAR","HOU","JAX","KC","LAR","DAL","CHI","NE","TB","50"
"Bag 'n' Shoes","5","5","CLE","ATL","GB","IND","MN","MIA","DEN","CIN","HOU","JAX","KC","LAC","SEA","CHI","NE","TB","49"
"JustMonkeyinAround","5","5","NYJ","ATL","GB","PHI","MN","MIA","DEN","CIN","HOU","JAX","KC","LAR","DAL","CHI","NE","TB","45"
"The Real Slim Brady","5","5","CLE","ATL","GB","PHI","MN","MIA","DEN","CAR","HOU","JAX","SF","LAC","SEA","AZ","NE","TB","0"
"Bill's Mafia","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
