"","Score","Potential ScorePerfect: 15","MN 31@LAR 38","NYJ 12@JAX 31","MIA 7@NE 38","PHI 23@TEN 26","HOU 37@IND 34","BUF 0@GB 22","DET 24@DAL 26","TB 10@CHI 48","CIN 37@ATL 36","SEA 20@AZ 17","CLE 42@OAK 45","NO 33@NYG 18","SF 27@LAC 29","BAL 26@PIT 14","KC 27@DEN 23","Tie BreakerPredictionActual: 50"
"","","click for stats:","","","","","","","","","","","","","","","","[?]"
"Eggman","13","13","LAR","JAX","NE","PHI","HOU","GB","DAL","CHI","ATL","SEA","OAK","NO","LAC","BAL","KC","49"
"Dental Plan","13","13","LAR","JAX","NE","PHI","HOU","GB","DAL","CHI","CIN","SEA","CLE","NO","LAC","BAL","KC","55"
"Larry1223","12","12","LAR","JAX","NE","PHI","IND","GB","DAL","CHI","CIN","SEA","CLE","NO","LAC","BAL","KC","48"
"$man","12","12","LAR","JAX","NE","PHI","HOU","GB","DAL","CHI","ATL","SEA","OAK","NO","LAC","PIT","KC","53"
"Nugget2018","12","12","LAR","JAX","NE","PHI","HOU","GB","DAL","CHI","ATL","SEA","OAK","NO","LAC","PIT","KC","44"
"Coachjoel57","12","12","LAR","JAX","NE","PHI","IND","GB","DAL","CHI","CIN","SEA","OAK","NO","LAC","PIT","KC","42"
"El Presidente","12","12","LAR","JAX","NE","PHI","HOU","GB","DAL","CHI","ATL","SEA","OAK","NO","LAC","PIT","KC","40"
"coach1","11","11","LAR","JAX","NE","PHI","HOU","GB","DAL","CHI","ATL","SEA","OAK","NO","LAC","PIT","DEN","50"
"madbolt","11","11","LAR","JAX","NE","PHI","HOU","GB","DAL","CHI","ATL","SEA","OAK","NYG","LAC","BAL","DEN","51"
"Wentz is Jewish","11","11","LAR","JAX","NE","TEN","IND","GB","DET","TB","CIN","SEA","OAK","NO","LAC","PIT","KC","51"
"MSE-PA","11","11","LAR","JAX","NE","PHI","IND","GB","DAL","CHI","ATL","SEA","OAK","NO","LAC","PIT","KC","52"
"cammax716","11","11","LAR","JAX","NE","PHI","HOU","GB","DET","CHI","ATL","SEA","OAK","NO","LAC","PIT","KC","52"
"Cramer","11","11","LAR","JAX","NE","PHI","HOU","GB","DAL","CHI","ATL","SEA","OAK","NO","LAC","PIT","DEN","48"
"Saquads Scores!","11","11","LAR","JAX","NE","TEN","HOU","GB","DET","CHI","ATL","SEA","CLE","NYG","LAC","BAL","KC","48"
"Sophie's Last Choice","11","11","LAR","JAX","NE","PHI","IND","GB","DAL","TB","ATL","SEA","OAK","NO","LAC","BAL","KC","53"
"SuperBowl 52 Champs","11","11","LAR","JAX","NE","PHI","IND","GB","DAL","CHI","ATL","SEA","OAK","NO","LAC","PIT","KC","54"
"Used to be BristolDr","11","11","LAR","JAX","NE","PHI","IND","GB","DAL","TB","ATL","SEA","OAK","NO","LAC","BAL","KC","46"
"Joe Cell Man","11","11","LAR","JAX","NE","PHI","HOU","GB","DAL","TB","ATL","SEA","OAK","NO","LAC","PIT","KC","55"
"Alec B","11","11","LAR","JAX","NE","PHI","HOU","GB","DAL","CHI","ATL","SEA","OAK","NO","LAC","PIT","DEN","55"
"Brubabe","11","11","LAR","JAX","NE","PHI","IND","GB","DAL","CHI","ATL","SEA","OAK","NO","LAC","PIT","KC","44"
"Knead A Win","11","11","LAR","JAX","NE","TEN","IND","GB","DAL","CHI","ATL","SEA","OAK","NYG","LAC","PIT","KC","42"
"Bill's Mafia","11","11","LAR","JAX","NE","TEN","HOU","GB","DET","CHI","ATL","SEA","CLE","NO","LAC","PIT","KC","41"
"egever","11","11","LAR","JAX","NE","PHI","HOU","GB","DET","CHI","ATL","SEA","OAK","NO","LAC","BAL","DEN","61"
"sdtrading","10","10","LAR","JAX","NE","PHI","IND","GB","DAL","TB","ATL","SEA","OAK","NO","LAC","PIT","KC","51"
"Sparky","10","10","LAR","JAX","NE","PHI","IND","GB","DAL","CHI","ATL","SEA","CLE","NO","LAC","PIT","KC","48"
"howarddmd","10","10","LAR","JAX","NE","PHI","IND","GB","DAL","TB","ATL","SEA","OAK","NO","LAC","PIT","KC","48"
"Torch","10","10","LAR","JAX","NE","PHI","IND","GB","DAL","TB","ATL","SEA","OAK","NO","LAC","PIT","KC","53"
"TuesdayMorningQB","10","10","LAR","JAX","MIA","PHI","HOU","GB","DAL","CHI","CIN","SEA","CLE","NYG","LAC","PIT","KC","53"
"stanley steamer","10","10","LAR","JAX","NE","PHI","HOU","GB","DET","CHI","ATL","SEA","CLE","NO","LAC","PIT","KC","54"
"Barry from Miami","10","10","LAR","JAX","NE","PHI","IND","GB","DAL","CHI","ATL","SEA","CLE","NO","LAC","PIT","KC","54"
"Mega Movis Men","10","10","LAR","JAX","MIA","PHI","IND","GB","DAL","CHI","ATL","SEA","OAK","NO","LAC","BAL","DEN","45"
"Perjodi","10","10","LAR","JAX","NE","PHI","IND","GB","DET","CHI","ATL","SEA","OAK","NO","LAC","PIT","KC","55"
"Pauly12","10","10","LAR","JAX","NE","PHI","HOU","GB","DET","CHI","ATL","SEA","CLE","NO","LAC","PIT","KC","55"
"Slugger53","10","10","LAR","JAX","NE","PHI","HOU","GB","DET","CHI","ATL","SEA","CLE","NO","LAC","PIT","KC","55"
"Jack","10","10","LAR","JAX","NE","PHI","IND","GB","DAL","TB","ATL","SEA","OAK","NO","LAC","PIT","KC","44"
"Team Rovner","10","10","LAR","JAX","NE","PHI","IND","GB","DET","CHI","ATL","SEA","CLE","NO","LAC","BAL","KC","44"
"Go Pats!!!","10","10","LAR","JAX","NE","PHI","IND","GB","DAL","CHI","ATL","SEA","OAK","NO","LAC","PIT","DEN","44"
"jtyler15","10","10","LAR","JAX","NE","PHI","HOU","GB","DET","CHI","ATL","AZ","OAK","NO","LAC","PIT","KC","44"
"Z-Man","10","10","LAR","JAX","NE","PHI","HOU","GB","DET","CHI","ATL","SEA","OAK","NYG","LAC","BAL","DEN","44"
"They Might Be Giants!","10","10","LAR","JAX","NE","PHI","IND","GB","DET","CHI","CIN","AZ","OAK","NYG","LAC","BAL","KC","43"
"Boldman","10","10","LAR","JAX","NE","PHI","HOU","GB","DET","CHI","ATL","SEA","CLE","NO","LAC","PIT","KC","57"
"speedy","10","10","LAR","JAX","NE","PHI","IND","GB","DAL","CHI","ATL","SEA","OAK","NYG","LAC","PIT","KC","42"
"Jay's Gramps","10","10","LAR","JAX","MIA","PHI","HOU","GB","DET","CHI","ATL","SEA","CLE","NO","LAC","BAL","KC","42"
"RichieRich$$","10","10","LAR","JAX","NE","PHI","IND","GB","DAL","CHI","ATL","SEA","OAK","NYG","LAC","PIT","KC","39"
"Digital Jim","10","10","LAR","JAX","NE","PHI","IND","GB","DAL","TB","ATL","SEA","OAK","NO","LAC","PIT","KC","38"
"Dorf","10","10","-","JAX","NE","PHI","IND","GB","DAL","CHI","ATL","SEA","OAK","NO","LAC","PIT","KC","36"
"HayMadEm","10","10","LAR","JAX","NE","PHI","IND","GB","DET","TB","CIN","SEA","OAK","NYG","LAC","BAL","KC","35"
"Petvet","9","9","LAR","JAX","NE","PHI","IND","GB","DET","CHI","ATL","SEA","OAK","NYG","LAC","PIT","KC","50"
"Lucky Laits","9","9","MN","JAX","MIA","TEN","IND","GB","DAL","TB","ATL","SEA","OAK","NYG","LAC","BAL","KC","50"
"StamfordPhil","9","9","LAR","JAX","NE","PHI","IND","GB","DAL","CHI","ATL","SEA","CLE","NYG","LAC","PIT","KC","51"
"BADBOYBILLY","9","9","LAR","JAX","NE","PHI","IND","GB","DAL","TB","ATL","SEA","CLE","NO","LAC","PIT","KC","49"
"king","9","9","MN","JAX","NE","PHI","IND","GB","DET","CHI","ATL","SEA","OAK","NO","LAC","PIT","KC","49"
"Fein Men","9","9","LAR","JAX","NE","PHI","IND","GB","DET","CHI","ATL","SEA","CLE","NO","LAC","PIT","KC","49"
"j3live","9","9","LAR","JAX","MIA","PHI","IND","GB","DET","CHI","CIN","AZ","CLE","NO","LAC","BAL","KC","51"
"Teddy","9","9","LAR","NYJ","NE","PHI","IND","GB","DAL","CHI","ATL","SEA","CLE","NO","LAC","PIT","KC","52"
"tonyppt","9","9","LAR","JAX","NE","PHI","IND","GB","DAL","TB","ATL","AZ","OAK","NO","LAC","PIT","KC","52"
"TShelly","9","9","LAR","JAX","NE","PHI","IND","GB","DAL","CHI","ATL","AZ","CLE","NO","LAC","PIT","KC","53"
"Jeff Rosenthal","9","9","LAR","JAX","NE","PHI","IND","GB","DET","CHI","ATL","SEA","CLE","NO","LAC","PIT","KC","47"
"Davs3b","9","9","LAR","JAX","NE","PHI","IND","GB","DET","TB","ATL","SEA","OAK","NO","LAC","PIT","KC","46"
"GEO DOG","9","9","LAR","JAX","MIA","PHI","IND","GB","DET","CHI","ATL","SEA","CLE","NO","LAC","BAL","KC","54"
"Jaddie's Daddy","9","9","LAR","JAX","NE","PHI","IND","GB","DET","CHI","ATL","AZ","OAK","NYG","LAC","BAL","KC","55"
"HAPPY NESS","9","9","LAR","JAX","NE","PHI","IND","GB","DAL","TB","ATL","SEA","CLE","NO","LAC","PIT","KC","55"
"Cold Steel","9","9","LAR","JAX","NE","PHI","HOU","GB","DAL","CHI","ATL","SEA","CLE","NYG","LAC","PIT","DEN","55"
"Giant Blues","9","9","-","JAX","NE","PHI","IND","GB","DAL","CHI","CIN","SEA","CLE","NYG","LAC","PIT","KC","45"
"POOL MEISTER","9","9","LAR","JAX","NE","PHI","IND","GB","DAL","CHI","ATL","SEA","CLE","NO","LAC","PIT","DEN","56"
"Kosher Dilly Dilly","9","9","LAR","JAX","NE","PHI","HOU","GB","DET","CHI","ATL","SEA","CLE","NYG","LAC","PIT","KC","43"
"HEADLY IV","9","9","LAR","JAX","NE","TEN","IND","GB","DET","TB","ATL","AZ","OAK","NO","LAC","PIT","KC","57"
"Fire Goodell","9","9","LAR","JAX","NE","TEN","IND","GB","DET","TB","ATL","SEA","CLE","NYG","LAC","BAL","KC","42"
"JMenacker","9","9","LAR","JAX","NE","PHI","IND","GB","DET","TB","ATL","SEA","OAK","NO","LAC","PIT","KC","42"
"Keith Swet Tailor","9","9","LAR","JAX","NE","PHI","IND","GB","DET","TB","ATL","SEA","OAK","NO","LAC","PIT","KC","61"
"Twinkletoes","9","9","MN","JAX","NE","PHI","IND","GB","DAL","TB","ATL","SEA","OAK","NO","LAC","PIT","KC","38"
