"","Score","Potential ScorePerfect: 15","IND 24@NE 38","TEN 12@BUF 13","ATL 17@PIT 41","DEN 16@NYJ 34","JAX 14@KC 30","GB 23@DET 31","BAL 9@CLE 12","NYG 31@CAR 33","MIA 17@CIN 27","OAK 10@LAC 26","AZ 28@SF 18","MN 23@PHI 21","LAR 33@SEA 31","DAL 16@HOU 19","WAS 19@NO 43","Tie BreakerPredictionActual: 62"
"","","click for stats:","","","","","","","","","","","","","","","","[?]"
"tonyppt","12","12","NE","TEN","PIT","DEN","KC","DET","CLE","CAR","CIN","LAC","SF","MN","LAR","HOU","NO","55"
"The Real Slim Brady","12","12","NE","TEN","PIT","DEN","KC","DET","CLE","CAR","MIA","LAC","AZ","MN","LAR","HOU","NO","54"
"Barry from Miami","12","12","NE","TEN","PIT","NYJ","KC","DET","BAL","CAR","CIN","LAC","AZ","PHI","LAR","HOU","NO","53"
"Cramer","12","12","NE","BUF","PIT","NYJ","KC","GB","CLE","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","51"
"Bill's Mafia","12","12","NE","BUF","PIT","NYJ","JAX","DET","CLE","CAR","CIN","OAK","AZ","PHI","LAR","HOU","NO","41"
"Jaddie's Daddy","11","11","NE","TEN","PIT","NYJ","KC","DET","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","55"
"Eggman","11","11","NE","BUF","ATL","NYJ","KC","DET","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","55"
"sdtrading","11","11","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","AZ","MN","LAR","HOU","NO","55"
"Cold Steel","11","11","NE","BUF","PIT","DEN","JAX","DET","CLE","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","53"
"Mega Movis Men","11","11","NE","TEN","PIT","DEN","KC","DET","BAL","CAR","CIN","LAC","AZ","PHI","LAR","HOU","NO","52"
"TShelly","11","11","NE","BUF","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","AZ","PHI","LAR","HOU","NO","52"
"Wentz is Jewish","11","11","NE","BUF","PIT","NYJ","JAX","DET","BAL","CAR","CIN","LAC","AZ","PHI","LAR","DAL","NO","52"
"Fein Men","11","11","NE","TEN","PIT","NYJ","KC","GB","BAL","CAR","CIN","LAC","AZ","PHI","LAR","HOU","NO","48"
"Joe Cell Man","11","11","NE","TEN","PIT","NYJ","KC","DET","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","48"
"Keith Swet Tailor","11","11","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","AZ","MN","LAR","HOU","NO","47"
"Kosher Dilly Dilly","10","10","NE","BUF","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","MN","LAR","HOU","WAS","58"
"LARRY SHIVTGERALD","10","10","NE","TEN","ATL","DEN","KC","GB","CLE","CAR","CIN","LAC","AZ","MN","LAR","DAL","NO","57"
"RichieRich$$","10","10","NE","TEN","ATL","NYJ","JAX","DET","CLE","CAR","CIN","LAC","AZ","PHI","LAR","HOU","WAS","56"
"Pioneers85","10","10","NE","TEN","PIT","NYJ","JAX","DET","CLE","NYG","CIN","LAC","SF","PHI","LAR","HOU","NO","55"
"Davs3b","10","10","NE","TEN","PIT","NYJ","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","54"
"POOL MEISTER","10","10","NE","TEN","PIT","DEN","KC","DET","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","53"
"JustMonkeyinAround","10","10","NE","TEN","ATL","DEN","KC","DET","CLE","CAR","CIN","LAC","AZ","PHI","LAR","DAL","NO","53"
"Torch","10","10","NE","TEN","PIT","NYJ","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","52"
"Bag 'n' Shoes","10","10","NE","TEN","ATL","DEN","KC","GB","CLE","CAR","CIN","LAC","AZ","MN","SEA","HOU","NO","52"
"Dr Blue","10","10","NE","TEN","ATL","DEN","KC","DET","CLE","CAR","CIN","OAK","AZ","MN","SEA","HOU","NO","52"
"Perjodi","10","10","NE","TEN","PIT","DEN","KC","GB","CLE","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","51"
"Teddy","10","10","-","TEN","PIT","NYJ","KC","GB","CLE","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","51"
"cammax716","10","10","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","MN","LAR","HOU","NO","49"
"king","10","10","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","AZ","PHI","LAR","HOU","NO","49"
"Friedman's Got Talent","10","10","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","MN","LAR","HOU","NO","49"
"Coachjoel57","10","10","NE","BUF","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","49"
"USMC1125","10","10","NE","TEN","PIT","DEN","KC","DET","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","48"
"Giant Blues","10","10","NE","TEN","PIT","DEN","JAX","GB","CLE","NYG","CIN","LAC","AZ","MN","LAR","HOU","NO","47"
"Knead A Win","10","10","NE","TEN","ATL","NYJ","KC","GB","BAL","NYG","CIN","LAC","AZ","MN","LAR","HOU","NO","42"
"Jeff Rosenthal","10","10","NE","TEN","PIT","NYJ","KC","GB","BAL","CAR","CIN","LAC","AZ","PHI","LAR","DAL","NO","37"
"coach1","9","9","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","58"
"madbolt","9","9","NE","TEN","ATL","DEN","JAX","DET","CLE","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","57"
"Alec B","9","9","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","57"
"TuesdayMorningQB","9","9","NE","BUF","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","DAL","NO","56"
"Jay's Gramps","9","9","NE","TEN","ATL","DEN","JAX","GB","CLE","CAR","CIN","OAK","AZ","MN","LAR","HOU","NO","54"
