"","Score","Potential ScorePerfect: 15","PHI 34@NYG 13","TB 29@ATL 34","CAR 17@WAS 23","SEA 27@OAK 3","IND 34@NYJ 42","AZ 17@MN 27","PIT 28@CIN 21","LAC 38@CLE 14","BUF 13@HOU 20","CHI 28@MIA 31","LAR 23@DEN 20","BAL 21@TEN 0","JAX 7@DAL 40","KC 40@NE 43","SF 30@GB 33","Tie BreakerPredictionActual: 63"
"","","click for stats:","","","","","","","","","","","","","","","","[?]"
"RichieRich$$","13","13","PHI","ATL","WAS","SEA","NYJ","MN","CIN","LAC","HOU","CHI","LAR","BAL","DAL","NE","GB","44"
"Dorf","13","13","PHI","ATL","CAR","SEA","IND","MN","PIT","LAC","HOU","MIA","LAR","BAL","DAL","NE","GB","36"
"MSE-PA","12","12","PHI","ATL","CAR","SEA","NYJ","MN","PIT","LAC","HOU","CHI","LAR","BAL","JAX","NE","GB","48"
"tonyppt","12","12","PHI","ATL","WAS","SEA","NYJ","MN","PIT","LAC","HOU","CHI","LAR","BAL","JAX","KC","GB","48"
"Keith Swet Tailor","12","12","PHI","ATL","CAR","SEA","NYJ","MN","PIT","LAC","HOU","CHI","LAR","TEN","DAL","NE","GB","46"
"Art","12","12","PHI","ATL","CAR","SEA","NYJ","MN","PIT","LAC","HOU","CHI","LAR","BAL","JAX","NE","GB","45"
"Team Rovner","12","12","PHI","ATL","WAS","OAK","NYJ","MN","CIN","LAC","HOU","CHI","LAR","BAL","DAL","NE","GB","44"
"Twinkletoes","12","12","PHI","ATL","CAR","SEA","IND","MN","PIT","LAC","HOU","CHI","LAR","BAL","DAL","NE","GB","42"
"HayMadEm","12","12","PHI","ATL","CAR","SEA","NYJ","MN","PIT","CLE","HOU","CHI","LAR","BAL","DAL","NE","GB","42"
"howarddmd","12","12","NYG","ATL","CAR","SEA","NYJ","MN","PIT","LAC","HOU","CHI","LAR","BAL","DAL","NE","GB","41"
"West Coast Eagles Fan","11","11","PHI","ATL","WAS","SEA","IND","MN","PIT","LAC","HOU","MIA","DEN","TEN","JAX","NE","GB","55"
"Lucky Laits","11","11","NYG","ATL","WAS","OAK","IND","MN","PIT","LAC","HOU","MIA","LAR","BAL","JAX","NE","GB","52"
"Go Pats!!!","11","11","PHI","ATL","CAR","OAK","NYJ","MN","CIN","LAC","HOU","CHI","LAR","BAL","DAL","NE","GB","52"
"Chess Doc","11","11","PHI","ATL","CAR","SEA","NYJ","MN","PIT","CLE","BUF","CHI","LAR","BAL","DAL","NE","GB","52"
"Nugget2018","11","11","PHI","ATL","CAR","SEA","IND","MN","PIT","LAC","HOU","CHI","DEN","BAL","DAL","NE","GB","52"
"sdtrading","11","11","PHI","ATL","WAS","SEA","NYJ","MN","CIN","LAC","HOU","CHI","LAR","TEN","JAX","NE","GB","51"
"StamfordPhil","11","11","NYG","ATL","WAS","SEA","IND","MN","CIN","LAC","HOU","MIA","LAR","TEN","DAL","NE","GB","49"
"TuesdayMorningQB","11","11","NYG","ATL","CAR","SEA","NYJ","MN","CIN","LAC","HOU","CHI","LAR","BAL","DAL","NE","GB","49"
"HAPPY NESS","11","11","PHI","ATL","WAS","OAK","NYJ","MN","PIT","CLE","HOU","CHI","LAR","BAL","JAX","NE","GB","48"
"Cramer","11","11","PHI","ATL","WAS","OAK","IND","MN","PIT","LAC","HOU","MIA","DEN","TEN","DAL","NE","GB","47"
"Joe Cell Man","11","11","PHI","ATL","CAR","SEA","NYJ","MN","CIN","CLE","HOU","MIA","LAR","BAL","JAX","NE","GB","47"
"Pauly12","11","11","NYG","ATL","CAR","SEA","NYJ","MN","CIN","LAC","HOU","CHI","LAR","BAL","DAL","NE","GB","47"
"Perjodi","11","11","PHI","ATL","WAS","OAK","NYJ","MN","PIT","LAC","HOU","CHI","LAR","TEN","JAX","NE","GB","46"
"Barry from Miami","11","11","PHI","ATL","CAR","SEA","NYJ","MN","CIN","CLE","HOU","CHI","LAR","BAL","DAL","NE","GB","46"
"LARRY SHIVTGERALD","11","11","NYG","ATL","CAR","SEA","NYJ","MN","PIT","LAC","HOU","CHI","LAR","BAL","JAX","NE","GB","46"
"coach1","11","11","PHI","ATL","WAS","SEA","NYJ","MN","CIN","CLE","HOU","CHI","LAR","BAL","JAX","NE","GB","45"
"GKAT28","11","11","NYG","ATL","CAR","OAK","NYJ","MN","PIT","LAC","HOU","CHI","LAR","BAL","DAL","NE","GB","44"
"BADBOYBILLY","11","11","PHI","ATL","CAR","SEA","NYJ","MN","PIT","LAC","HOU","CHI","LAR","TEN","JAX","NE","GB","44"
"SuperBowl 52 Champs","11","11","PHI","ATL","WAS","SEA","NYJ","MN","CIN","LAC","HOU","CHI","LAR","BAL","JAX","KC","GB","44"
"Pioneers85","11","11","NYG","ATL","WAS","SEA","NYJ","MN","PIT","CLE","HOU","MIA","LAR","TEN","JAX","NE","GB","44"
"Brubabe","11","11","PHI","ATL","CAR","SEA","NYJ","MN","PIT","LAC","HOU","CHI","LAR","TEN","JAX","NE","GB","42"
"egever","11","11","PHI","ATL","WAS","SEA","IND","MN","PIT","CLE","HOU","CHI","LAR","TEN","DAL","NE","GB","32"
"Alec B","10","10","PHI","ATL","CAR","SEA","IND","MN","PIT","LAC","HOU","CHI","DEN","BAL","JAX","NE","GB","60"
"Slugger53","10","10","PHI","ATL","CAR","OAK","NYJ","MN","CIN","LAC","HOU","CHI","LAR","BAL","JAX","NE","GB","50"
"Coachjoel57","10","10","PHI","ATL","CAR","SEA","NYJ","MN","CIN","CLE","HOU","CHI","LAR","TEN","DAL","NE","GB","49"
"Davs3b","10","10","PHI","ATL","CAR","SEA","NYJ","MN","CIN","LAC","HOU","MIA","LAR","TEN","JAX","KC","GB","49"
"Z-Man","10","10","NYG","ATL","CAR","SEA","NYJ","MN","CIN","LAC","HOU","CHI","LAR","BAL","JAX","NE","GB","49"
"Cold Steel","10","10","PHI","ATL","WAS","SEA","IND","MN","CIN","CLE","HOU","CHI","LAR","BAL","JAX","NE","GB","48"
"Torch","10","10","PHI","ATL","CAR","SEA","NYJ","MN","CIN","LAC","HOU","CHI","LAR","TEN","JAX","NE","GB","48"
"TShelly","10","10","PHI","ATL","WAS","SEA","NYJ","MN","PIT","CLE","HOU","CHI","LAR","TEN","JAX","KC","GB","47"
"Jeff Rosenthal","10","10","PHI","ATL","CAR","SEA","NYJ","MN","PIT","CLE","HOU","CHI","LAR","BAL","JAX","KC","GB","44"
