"","Score","Potential ScorePerfect: 14","DEN 45@AZ 10","TEN 19@LAC 20","CLE 23@TB 26","CAR 21@PHI 17","MN 37@NYJ 17","DET 32@MIA 21","NE 38@CHI 31","BUF 5@IND 37","HOU 20@JAX 7","NO 24@BAL 23","DAL 17@WAS 20","LAR 39@SF 10","CIN 10@KC 45","NYG 20@ATL 23","Tie BreakerPredictionActual: 43"
"","","click for stats:","","","","","","","","","","","","","","","[?]"
"tonyppt","13","13","DEN","LAC","CLE","CAR","MN","DET","NE","IND","HOU","NO","WAS","LAR","KC","ATL","54"
"Alec B","13","13","DEN","LAC","TB","PHI","MN","DET","NE","IND","HOU","NO","WAS","LAR","KC","ATL","58"
"Fein Men","12","12","AZ","LAC","TB","PHI","MN","DET","NE","IND","HOU","NO","WAS","LAR","KC","ATL","47"
"Giant Blues","12","12","DEN","LAC","TB","PHI","MN","DET","NE","IND","HOU","NO","WAS","LAR","KC","NYG","49"
"Digital Jim","12","12","DEN","LAC","TB","PHI","MN","DET","NE","IND","JAX","NO","WAS","LAR","KC","ATL","35"
"jtyler15","12","12","DEN","LAC","TB","PHI","MN","DET","NE","IND","JAX","NO","WAS","LAR","KC","ATL","54"
"GeveandSteveandStella","12","12","DEN","LAC","TB","PHI","MN","DET","NE","IND","JAX","NO","WAS","LAR","KC","ATL","65"
"Knead A Win","11","11","DEN","LAC","TB","PHI","MN","MIA","NE","IND","JAX","NO","WAS","LAR","KC","ATL","42"
"RichieRich$$","11","11","DEN","LAC","TB","PHI","MN","DET","NE","IND","JAX","BAL","WAS","LAR","KC","ATL","44"
"Friedman's Got Talent","11","11","AZ","LAC","TB","PHI","MN","DET","NE","IND","JAX","NO","WAS","LAR","KC","ATL","42"
"JMenacker","11","11","DEN","LAC","TB","PHI","MN","DET","NE","IND","JAX","NO","DAL","LAR","KC","ATL","42"
"howarddmd","11","11","DEN","LAC","TB","PHI","MN","MIA","NE","IND","HOU","NO","DAL","LAR","KC","ATL","41"
"Coachjoel57","11","11","DEN","LAC","TB","PHI","MN","MIA","NE","IND","JAX","NO","WAS","LAR","KC","ATL","45"
"sdtrading","11","11","AZ","LAC","TB","PHI","MN","DET","NE","IND","JAX","NO","WAS","LAR","KC","ATL","45"
"Keith Swet Tailor","11","11","AZ","LAC","TB","PHI","MN","DET","NE","IND","JAX","NO","WAS","LAR","KC","ATL","46"
"TShelly","11","11","DEN","LAC","TB","PHI","MN","DET","NE","IND","JAX","NO","DAL","LAR","KC","ATL","46"
"king","11","11","DEN","LAC","TB","PHI","MN","DET","NE","IND","JAX","BAL","WAS","LAR","KC","ATL","47"
"Twinkletoes","11","11","DEN","TEN","TB","CAR","MN","DET","NE","IND","JAX","NO","DAL","LAR","KC","ATL","38"
"StamfordPhil","11","11","DEN","LAC","TB","PHI","MN","MIA","NE","IND","HOU","BAL","WAS","LAR","KC","ATL","48"
"El Presidente","11","11","-","LAC","TB","PHI","MN","DET","NE","IND","JAX","NO","WAS","LAR","KC","ATL","38"
"Z-Man","11","11","DEN","LAC","TB","PHI","MN","MIA","NE","IND","JAX","NO","WAS","LAR","KC","ATL","48"
"Jerry1229","11","11","-","LAC","TB","PHI","MN","MIA","NE","IND","HOU","NO","WAS","LAR","KC","ATL","48"
"Cramer","11","11","DEN","LAC","TB","PHI","MN","MIA","NE","IND","JAX","NO","WAS","LAR","KC","ATL","50"
"Dental Plan","11","11","DEN","LAC","CLE","PHI","MN","DET","NE","IND","HOU","NO","WAS","LAR","CIN","ATL","51"
"Nugget2018","11","11","DEN","LAC","TB","PHI","MN","DET","NE","IND","JAX","NO","WAS","LAR","KC","NYG","53"
"egever","11","11","DEN","LAC","TB","PHI","MN","DET","NE","IND","JAX","NO","DAL","LAR","KC","ATL","33"
"Perjodi","11","11","DEN","LAC","TB","PHI","MN","DET","NE","IND","JAX","BAL","WAS","LAR","KC","ATL","54"
"Mega Movis Men","11","11","DEN","LAC","TB","PHI","MN","MIA","NE","IND","HOU","BAL","WAS","LAR","KC","ATL","32"
"Go Pats!!!","11","11","DEN","LAC","TB","PHI","MN","DET","NE","IND","JAX","NO","DAL","LAR","KC","ATL","55"
"Slugger53","11","11","DEN","LAC","TB","PHI","MN","DET","NE","IND","JAX","NO","WAS","LAR","CIN","ATL","55"
"Jack","11","11","DEN","LAC","CLE","PHI","MN","DET","NE","IND","JAX","NO","WAS","LAR","KC","ATL","30"
"Joe Cell Man","11","11","DEN","LAC","TB","PHI","MN","DET","NE","IND","JAX","BAL","WAS","LAR","KC","ATL","57"
