"","Score","Potential ScorePerfect: 14","MIA 23@HOU 42","PHI 24@JAX 18","DEN 23@KC 30","CLE 18@PIT 33","WAS 20@NYG 13","SEA 28@DET 14","TB 34@CIN 37","NYJ 10@CHI 24","BAL 21@CAR 36","IND 42@OAK 28","SF 15@AZ 18","GB 27@LAR 29","NO 30@MN 20","NE 25@BUF 6","Tie BreakerPredictionActual: 31"
"","","click for stats:","","","","","","","","","","","","","","","[?]"
"Jerry1229","14","14","HOU","PHI","KC","PIT","WAS","SEA","CIN","CHI","CAR","IND","AZ","LAR","NO","NE","55"
"StamfordPhil","13","13","HOU","PHI","KC","PIT","WAS","SEA","CIN","CHI","CAR","IND","AZ","LAR","MN","NE","41"
"tnrosen","13","13","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","IND","AZ","LAR","NO","NE","43"
"Digital Jim","13","13","HOU","PHI","KC","PIT","WAS","SEA","CIN","CHI","CAR","IND","AZ","LAR","MN","NE","45"
"Dental Plan","13","13","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","IND","AZ","LAR","NO","NE","45"
"Saquads Scores!","13","13","HOU","PHI","KC","PIT","NYG","SEA","CIN","CHI","CAR","IND","AZ","LAR","NO","NE","47"
"Jeff Rosenthal","13","13","HOU","PHI","KC","PIT","WAS","SEA","CIN","CHI","BAL","IND","AZ","LAR","NO","NE","49"
"jtyler15","13","13","HOU","PHI","KC","PIT","WAS","SEA","CIN","CHI","BAL","IND","AZ","LAR","NO","NE","51"
"Teddy","12","12","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","BAL","IND","AZ","LAR","NO","NE","43"
"$man","12","12","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","IND","SF","LAR","NO","NE","44"
"Used to be BristolDr","12","12","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","OAK","AZ","LAR","NO","NE","45"
"Barry from Miami","12","12","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","IND","AZ","LAR","MN","NE","45"
"Jay's Gramps","12","12","MIA","PHI","KC","PIT","NYG","SEA","CIN","CHI","CAR","IND","AZ","LAR","NO","NE","46"
"Art","12","12","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","IND","SF","LAR","NO","NE","48"
"Fein Men","12","12","HOU","PHI","KC","PIT","WAS","SEA","CIN","CHI","CAR","IND","SF","LAR","MN","NE","48"
"JMenacker","12","12","HOU","PHI","KC","PIT","WAS","SEA","CIN","CHI","CAR","IND","SF","LAR","MN","NE","48"
"Keith Swet Tailor","12","12","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","IND","AZ","LAR","MN","NE","48"
"Coachjoel57","12","12","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","IND","AZ","LAR","MN","NE","49"
"MSE-PA","12","12","HOU","PHI","KC","PIT","WAS","SEA","CIN","CHI","BAL","IND","AZ","LAR","MN","NE","52"
"Sparky","12","12","HOU","PHI","KC","PIT","WAS","SEA","CIN","CHI","CAR","IND","SF","LAR","MN","NE","52"
"coach1","12","12","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","IND","SF","LAR","NO","NE","55"
"Davs3b","12","12","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","IND","AZ","LAR","MN","NE","55"
"stanley steamer","12","12","HOU","PHI","KC","PIT","WAS","SEA","CIN","CHI","BAL","IND","SF","LAR","NO","NE","56"
"The Real Slim Brady","12","12","HOU","PHI","KC","PIT","WAS","SEA","CIN","CHI","CAR","IND","SF","LAR","MN","NE","65"
"Jaddie's Daddy","11","11","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","IND","SF","LAR","MN","NE","30"
"Jack","11","11","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","IND","SF","GB","NO","NE","24"
"Eggman","11","11","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","OAK","AZ","GB","NO","NE","38"
"egever","11","11","HOU","PHI","KC","PIT","NYG","SEA","TB","CHI","BAL","IND","AZ","LAR","NO","NE","39"
"howarddmd","11","11","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","OAK","AZ","LAR","MN","NE","41"
"Dorf","11","11","HOU","PHI","KC","PIT","WAS","SEA","CIN","CHI","BAL","IND","SF","LAR","MN","NE","42"
"West Coast Eagles Fan","11","11","HOU","PHI","DEN","PIT","NYG","SEA","TB","CHI","CAR","IND","AZ","LAR","NO","NE","42"
"JustMonkeyinAround","11","11","HOU","PHI","KC","CLE","WAS","SEA","CIN","CHI","BAL","IND","SF","LAR","NO","NE","42"
"Team Rovner","11","11","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","BAL","IND","SF","LAR","NO","NE","44"
"SuperBowl 52 Champs","11","11","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","OAK","AZ","LAR","MN","NE","44"
"Z-Man","11","11","HOU","JAX","KC","PIT","WAS","DET","CIN","CHI","CAR","IND","AZ","LAR","MN","NE","44"
"BADBOYBILLY","11","11","HOU","PHI","KC","PIT","WAS","SEA","CIN","CHI","BAL","IND","SF","LAR","MN","NE","44"
"West Coast Best Coast","11","11","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","OAK","AZ","LAR","MN","NE","45"
"Cold Steel","11","11","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","BAL","IND","AZ","LAR","MN","NE","45"
"Pioneers85","11","11","HOU","PHI","KC","PIT","NYG","SEA","CIN","CHI","CAR","IND","SF","LAR","MN","NE","45"
"Torch","11","11","HOU","PHI","KC","PIT","WAS","SEA","CIN","CHI","BAL","OAK","AZ","LAR","MN","NE","47"
"cammax716","11","11","HOU","PHI","KC","PIT","NYG","SEA","CIN","CHI","BAL","IND","AZ","LAR","MN","NE","47"
"Pauly12","11","11","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","BAL","IND","AZ","GB","NO","NE","47"
"LARRY SHIVTGERALD","11","11","-","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","IND","AZ","LAR","MN","NE","47"
"GeveandSteveandStella","11","11","HOU","PHI","KC","PIT","WAS","DET","TB","NYJ","CAR","IND","AZ","LAR","NO","NE","48"
"TuesdayMorningQB","11","11","HOU","JAX","KC","PIT","WAS","SEA","CIN","CHI","CAR","IND","SF","LAR","MN","NE","48"
"Chess Doc","11","11","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","BAL","IND","AZ","GB","NO","NE","50"
"GEO DOG","11","11","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","BAL","IND","SF","LAR","NO","NE","51"
"Go Pats!!!","11","11","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","CAR","IND","SF","LAR","MN","NE","52"
"Bag 'n' Shoes","11","11","HOU","PHI","KC","CLE","WAS","SEA","CIN","CHI","CAR","IND","SF","GB","NO","NE","52"
"Larry1223","11","11","HOU","PHI","KC","PIT","WAS","SEA","CIN","CHI","BAL","IND","SF","LAR","MN","NE","52"
"Slugger53","11","11","HOU","PHI","KC","PIT","WAS","DET","CIN","CHI","BAL","IND","SF","LAR","NO","NE","55"
"sdtrading","11","11","HOU","PHI","KC","PIT","WAS","SEA","CIN","CHI","BAL","IND","SF","LAR","MN","NE","59"
"Boldman","11","11","HOU","PHI","KC","PIT","NYG","DET","CIN","CHI","BAL","IND","AZ","LAR","NO","NE","0"
"USMC1125","11","11","HOU","JAX","KC","PIT","NYG","DET","CIN","CHI","CAR","IND","AZ","LAR","NO","NE","66"
"Mega Movis Men","10","10","HOU","PHI","KC","PIT","WAS","DET","CIN","NYJ","CAR","OAK","SF","LAR","NO","NE","32"
