"","Score","Potential ScorePerfect: 13","OAK 3@SF 34","CHI 41@BUF 9","TB 28@CAR 42","KC 37@CLE 21","NYJ 6@MIA 13","PIT 23@BAL 16","DET 9@MN 24","ATL 38@WAS 14","HOU 19@DEN 17","LAC 25@SEA 17","LAR 35@NO 45","GB 17@NE 31","TEN 28@DAL 14","Tie BreakerPredictionActual: 42"
"","","click for stats:","","","","","","","","","","","","","","[?]"
"Perjodi","12","12","SF","CHI","CAR","KC","MIA","PIT","MN","ATL","HOU","SEA","NO","NE","TEN","42"
"king","12","12","SF","CHI","CAR","KC","MIA","PIT","MN","ATL","HOU","LAC","NO","NE","DAL","40"
"GEO DOG","12","12","SF","CHI","CAR","KC","MIA","PIT","MN","ATL","HOU","LAC","NO","NE","DAL","49"
"Davs3b","11","11","OAK","CHI","CAR","KC","MIA","PIT","MN","ATL","HOU","SEA","NO","NE","TEN","44"
"Slugger53","11","11","OAK","CHI","CAR","KC","NYJ","PIT","MN","ATL","HOU","LAC","NO","NE","TEN","44"
"El Presidente","11","11","SF","CHI","CAR","KC","NYJ","PIT","MN","ATL","HOU","SEA","NO","NE","TEN","38"
"cammax716","11","11","SF","CHI","CAR","KC","MIA","PIT","MN","ATL","HOU","SEA","LAR","NE","TEN","36"
"Jaddie's Daddy","11","11","SF","CHI","CAR","KC","MIA","BAL","MN","ATL","HOU","LAC","NO","NE","DAL","34"
"howarddmd","11","11","OAK","CHI","CAR","KC","MIA","PIT","MN","ATL","HOU","LAC","NO","NE","DAL","50"
"Fein Men","11","11","OAK","CHI","CAR","KC","MIA","PIT","MN","ATL","DEN","LAC","NO","NE","TEN","54"
"Knead A Win","10","10","SF","CHI","CAR","KC","NYJ","PIT","MN","ATL","HOU","SEA","NO","NE","DAL","42"
"Sparky","10","10","SF","CHI","CAR","KC","MIA","PIT","MN","WAS","HOU","SEA","NO","NE","DAL","42"
"j3live","10","10","OAK","CHI","CAR","KC","MIA","BAL","MN","ATL","DEN","LAC","NO","NE","TEN","42"
"Dorf","10","10","SF","CHI","CAR","KC","MIA","PIT","MN","WAS","HOU","LAC","LAR","NE","DAL","42"
"Jerry1229","10","10","OAK","CHI","CAR","KC","MIA","PIT","MN","ATL","HOU","SEA","NO","NE","DAL","42"
"Boldman","10","10","-","CHI","CAR","KC","MIA","PIT","MN","ATL","HOU","LAC","LAR","NE","DAL","42"
"Giant Blues","10","10","SF","CHI","CAR","KC","MIA","PIT","MN","ATL","HOU","SEA","LAR","NE","DAL","41"
"Teddy","10","10","SF","CHI","CAR","KC","MIA","BAL","MN","WAS","HOU","LAC","NO","NE","DAL","41"
"Kosher Dilly Dilly","10","10","SF","CHI","CAR","KC","MIA","PIT","MN","WAS","HOU","SEA","NO","GB","TEN","43"
