,Name,total_wins,week_01,week_02,week_03,week_04,week_05,week_06,week_07,week_08,week_09,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17
0,$man,161.0,9.0,11.0,7.0,12.0,9.0,7.0,9.0,12.0,7.0,7.0,7.0,12.0,11.0,10.0,9.0,10.0,12.0
1,Alec B,161.0,9.0,8.0,7.0,11.0,9.0,10.0,13.0,10.0,10.0,9.0,7.0,9.0,10.0,7.0,10.0,10.0,12.0
2,Art,152.0,10.0,9.0,10.0,8.0,8.0,12.0,9.0,12.0,9.0,8.0,6.0,0.0,11.0,7.0,10.0,11.0,12.0
3,BADBOYBILLY,163.0,12.0,7.0,9.0,9.0,9.0,11.0,10.0,11.0,10.0,9.0,6.0,11.0,8.0,7.0,12.0,9.0,13.0
4,Bag 'n' Shoes,151.0,7.0,8.0,5.0,7.0,10.0,8.0,10.0,11.0,8.0,9.0,8.0,10.0,8.0,8.0,8.0,12.0,14.0
5,Barry from Miami,179.0,11.0,11.0,9.0,10.0,12.0,11.0,10.0,12.0,9.0,8.0,8.0,10.0,10.0,11.0,11.0,14.0,12.0
6,Bill's Mafia,77.0,9.0,7.0,0.0,11.0,12.0,0.0,8.0,9.0,9.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0
7,Boldman,165.0,9.0,8.0,11.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,6.0,11.0,8.0,11.0,8.0,12.0,12.0
8,Brubabe,161.0,8.0,10.0,9.0,11.0,7.0,11.0,9.0,8.0,8.0,9.0,6.0,12.0,10.0,10.0,10.0,11.0,12.0
9,Chess Doc,150.0,8.0,8.0,9.0,8.0,7.0,11.0,9.0,11.0,8.0,8.0,3.0,11.0,8.0,10.0,8.0,10.0,13.0
10,Coachjoel57,168.0,9.0,9.0,8.0,12.0,10.0,10.0,11.0,12.0,9.0,8.0,8.0,10.0,10.0,8.0,9.0,13.0,12.0
11,Cold Steel,171.0,11.0,13.0,9.0,9.0,11.0,10.0,9.0,11.0,9.0,8.0,7.0,12.0,10.0,8.0,9.0,13.0,12.0
12,Cramer,169.0,11.0,8.0,10.0,11.0,12.0,11.0,11.0,10.0,9.0,8.0,7.0,11.0,11.0,7.0,10.0,11.0,11.0
13,Davs3b,168.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,12.0,11.0,9.0,6.0,11.0,9.0,9.0,9.0,12.0,11.0
14,Dental Plan,161.0,7.0,11.0,8.0,13.0,8.0,9.0,11.0,13.0,9.0,9.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0
15,Digital Jim,163.0,10.0,10.0,6.0,10.0,8.0,10.0,12.0,13.0,9.0,9.0,4.0,12.0,11.0,8.0,8.0,11.0,12.0
16,Dorf,167.0,10.0,10.0,9.0,10.0,9.0,13.0,8.0,11.0,10.0,8.0,6.0,11.0,10.0,6.0,10.0,13.0,13.0
17,Dr Blue,138.0,7.0,10.0,6.0,8.0,10.0,7.0,7.0,8.0,9.0,9.0,7.0,8.0,9.0,9.0,3.0,12.0,9.0
18,Eggman,158.0,11.0,10.0,8.0,13.0,11.0,9.0,8.0,11.0,10.0,8.0,3.0,9.0,10.0,9.0,6.0,12.0,10.0
19,El Presidente,95.0,10.0,10.0,8.0,12.0,8.0,0.0,11.0,0.0,11.0,9.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0
